"l","run","baby","a","this_entropy","this_meandist"
"3","8","833","18","5.50373178594722","2.90733551395482"
"3","8","857","3","5.1988683548021","3.22069972339632"
"3","9","54","6","5.61184889906103","3.23548946217695"
"3","9","196","9","5.39078245331735","3.06920800567431"
"3","9","204","6","5.68922227234895","3.42165214908264"
"3","9","274","3","4.7667535659123","2.92407838940489"
"3","9","300","6","5.04323174667625","3.28387043415389"
"3","9","340","3","5.3454731883443","3.19262259430913"
"3","9","344","9","4.76341514232148","2.81856846922169"
"3","9","437","18","5.5477843943293","3.08709179960489"
"3","9","833","18","5.43879177115353","2.83322902154846"
"3","9","857","3","5.21490474038874","3.1504616195149"
"3","10","54","6","5.4829242673447","3.32145220556098"
"3","10","196","9","5.26750412939395","2.7702640986945"
"3","10","204","6","5.73749564450318","3.53184026476793"
"3","10","274","3","4.94598363922961","2.97232038398499"
"3","10","300","6","5.07069298016298","2.97322989847168"
"3","10","340","3","5.22345439147823","3.38866712267972"
"3","10","344","9","4.92785696915907","2.95571317490525"
"3","10","437","18","5.55803735034159","3.05665878498031"
"3","10","833","18","5.37959912691892","2.93610999531798"
"3","10","857","3","5.2195238451271","2.86623506498103"
"4","1","54","6","5.71662172922077","3.46899340004725"
"4","1","196","9","5.5696538551705","3.13615912504653"
"4","1","204","6","5.76886521426623","3.29093954561314"
"4","1","274","3","4.6152590602203","2.98207119000353"
"4","1","300","6","5.34551542182425","3.57949290861992"
"4","1","340","3","5.40736029005969","3.39861577518672"
"4","1","344","9","5.2207889553678","2.9240972936552"
"4","1","437","18","5.58068195529758","3.17372475537173"
"4","1","833","18","5.64392209057428","2.90354025546775"
"4","1","857","3","5.61788224585626","3.27957667464381"
"4","2","54","6","5.66048862184315","3.50911389250942"
"4","2","196","9","5.61827404287338","3.00352363021073"
"4","2","204","6","5.75291063132316","3.37239840157994"
"4","2","274","3","4.81584907260697","2.80288299975977"
"4","2","300","6","5.32153600257951","3.49731464669421"
"4","2","340","3","5.67499631026808","3.30392637786132"
"4","2","344","9","5.22163994857431","2.98504018465458"
"4","2","437","18","5.53992942876377","3.0752033545511"
"4","2","833","18","5.57384830208496","2.93433152083049"
"4","2","857","3","5.36675856524916","3.33816870203017"
"4","3","54","6","5.54663874506764","3.42625704178168"
"4","3","196","9","5.41469409619077","3.11311765700941"
"4","3","204","6","5.6583109526303","3.34206404157246"
"4","3","274","3","4.88111599997372","3.1126701484031"
"4","3","300","6","5.38961494720802","3.51647502160054"
"4","3","340","3","5.43490896365327","3.51283709919093"
"4","3","344","9","4.8909284325311","3.15513455836216"
"4","3","437","18","5.48070234667377","3.0967266417973"
"4","3","833","18","5.4511582690346","2.97192853690147"
"4","3","857","3","5.2942990236716","3.05199480535786"
"4","4","54","6","5.5624332607348","3.40835470122142"
"4","4","196","9","5.52418510928473","3.19819289324247"
"4","4","204","6","5.78780741092177","3.44419755682544"
"4","4","274","3","4.77899182905438","2.91760065941741"
"4","4","300","6","5.38258558198776","3.42125173466782"
"4","4","340","3","5.36738623556055","3.33523232506596"
"4","4","344","9","5.15818531851759","2.9651670869815"
"4","4","437","18","5.52461987360708","3.39103441367145"
"4","4","833","18","5.37551945576349","3.06541663353897"
"4","4","857","3","5.34979200809605","3.23963083166888"
"4","5","54","6","5.54527879087185","3.31193172712635"
"4","5","196","9","5.47912381761562","3.26474266959657"
"4","5","204","6","5.79670142485795","3.33955205157965"
"4","5","274","3","4.8867793346897","2.91070838575374"
"4","5","300","6","5.50404879935144","3.49167325706077"
"4","5","340","3","5.51964221930108","3.37838905787705"
"4","5","344","9","4.96823656013123","3.09291447748463"
"4","5","437","18","5.5267862540632","3.22519476181883"
"4","5","833","18","5.39044378691851","2.85951364708653"
"4","5","857","3","5.28611406157882","2.98778726076383"
"4","6","54","6","5.72592274559549","3.24862463445748"
"4","6","196","9","5.51513680713491","3.19066721061055"
"4","6","204","6","5.80017100183348","3.38664590309904"
"4","6","274","3","4.63559640125177","2.67690355579122"
"4","6","300","6","5.21417645704925","3.68498144331845"
"4","6","340","3","5.61235030991573","3.3669751603905"
"4","6","344","9","5.20372688700314","3.38918697259377"
"4","6","437","18","5.60731344219936","3.27288383924105"
"4","6","833","18","5.46820759096313","2.8777143323683"
"4","6","857","3","5.38888081539995","3.1693869846542"
"4","7","54","6","5.64592946712449","3.26646932993561"
"4","7","196","9","5.54879251910191","3.04863631709055"
"4","7","204","6","5.81279499558512","3.35862778004955"
"4","7","274","3","4.62026693389957","2.7928483385679"
"4","7","300","6","5.45789154534148","3.28003578080477"
"4","7","340","3","5.71272010590178","3.18464601288003"
"4","7","344","9","5.0277929495883","3.04881682409857"
"4","7","437","18","5.46433722903902","2.97058866273243"
"4","7","833","18","5.53866796995269","2.97643501183576"
"4","7","857","3","5.41096252708343","2.93587736816351"
"4","8","54","6","5.60363237640527","3.29254829237896"
"4","8","196","9","5.62075796509423","3.15615298021116"
"4","8","204","6","5.81783089873022","3.26375703602343"
"4","8","274","3","4.8895300967529","2.92857479693351"
"4","8","300","6","5.29686386243589","3.4779976114074"
"4","8","340","3","5.4404361745337","3.11855087211576"
"4","8","344","9","5.32623856281686","2.84158850041715"
"4","8","437","18","5.61590651323153","3.25849747766836"
"4","8","833","18","5.58687391712198","2.9449058334999"
"4","8","857","3","5.38641874507439","3.35038045506015"
"4","9","54","6","5.54123223408299","3.45661439781662"
"4","9","196","9","5.14011875106806","3.02782119994965"
"4","9","204","6","5.53165610760837","3.24989441575217"
"4","9","274","3","4.85916149924469","2.58628630761149"
"4","9","300","6","5.10729264839406","3.2656549201016"
"4","9","340","3","5.30310263792669","3.53035258887009"
"4","9","344","9","5.03840023667732","2.89548610945826"
"4","9","437","18","5.22904019578015","2.99029329902193"
"4","9","833","18","5.23857040431394","2.6968429095457"
"4","9","857","3","5.1355030688704","3.03795947709899"
"4","10","54","6","5.54845574602058","3.3318524277533"
"4","10","196","9","5.19165013892786","3.11186678299539"
"4","10","204","6","5.52959164687561","3.22693877155045"
"4","10","274","3","4.77721084560659","2.82140249670489"
"4","10","300","6","5.24369929147185","3.43084791624716"
"4","10","340","3","5.24749121604587","3.41108334717308"
"4","10","344","9","4.9075959272667","3.06982062065048"
"4","10","437","18","5.42306102688693","3.12727851208129"
"4","10","833","18","5.42647746650626","2.8538769310868"
"4","10","857","3","5.2291876659634","2.97437554700626"
"5","1","54","6","5.56776915899604","3.59990111823166"
"5","1","196","9","5.61512331843613","3.21828033682115"
"5","1","204","6","5.69753979313897","3.55547810933693"
"5","1","274","3","4.76431782273889","3.01099114527822"
"5","1","300","6","5.3818295791986","3.59619192744365"
"5","1","340","3","5.44280622371092","3.44759734610324"
"5","1","344","9","5.25934979680238","3.12292381416892"
"5","1","437","18","5.44206714375805","3.28599699987353"
"5","1","833","18","5.57120886477279","3.00176520631455"
"5","1","857","3","5.3579605130757","3.71674424708325"
"5","2","54","6","5.63139175512378","3.55112588763298"
"5","2","196","9","5.52905424391407","3.2602752213137"
"5","2","204","6","5.72241893900414","3.45716268047031"
"5","2","274","3","4.75664476806705","3.04135663041748"
"5","2","300","6","5.39147405824582","3.3963881562922"
"5","2","340","3","5.51689055544437","3.35639163401118"
"5","2","344","9","5.37452625951624","3.55422712102329"
"5","2","437","18","5.41914694257836","3.08273584681074"
"5","2","833","18","5.59753191621613","3.05073694828257"
"5","2","857","3","5.56691918709433","3.54481557024862"
"5","3","54","6","5.61747269342758","3.22569473281414"
"5","3","196","9","5.61692944212799","3.47721325597092"
"5","3","204","6","5.62807452712116","3.31420808540707"
"5","3","274","3","4.85389072478701","2.64390351782368"
"5","3","300","6","5.54332543653666","3.39911387915451"
"5","3","340","3","5.39879378924623","3.19475140500615"
"5","3","344","9","5.34793898008192","3.49470961813316"
"5","3","437","18","5.59751035453305","3.14039190718655"
"5","3","833","18","5.64221772153957","3.31377457480398"
"5","3","857","3","5.40712573021743","2.95373178570909"
"5","4","54","6","5.63537753542006","3.53094276470633"
"5","4","196","9","5.44527153402301","3.14809237561836"
"5","4","204","6","5.71050118373768","3.52563733288286"
"5","4","274","3","4.87609261717624","3.05687259363411"
"5","4","300","6","5.29311564347975","3.44325447506637"
"5","4","340","3","5.47300565892036","3.42664750187384"
"5","4","344","9","5.37376878436323","3.00751807230814"
"5","4","437","18","5.49339724419964","3.24780731231267"
"5","4","833","18","5.56477773692407","3.07078678846452"
"5","4","857","3","5.56088293353104","3.44650903338778"
"5","5","54","6","5.62874449856742","3.45833814907044"
"5","5","196","9","5.46481125548564","3.21877229656473"
"5","5","204","6","5.68948922981432","3.37541731558204"
"5","5","274","3","4.89397555988217","2.80583903314736"
"5","5","300","6","5.59515674904129","3.39856919406407"
"5","5","340","3","5.44022175957032","3.40254478338938"
"5","5","344","9","5.18601718358635","3.20379230745348"
"5","5","437","18","5.50388133527038","2.9932803224223"
"5","5","833","18","5.52123012338895","2.97963452866655"
"5","5","857","3","5.47463806777665","3.14631643488554"
"5","6","54","6","5.41691342378181","3.5179193585412"
"5","6","196","9","5.55594418109608","3.21387943282563"
"5","6","204","6","5.58778295262473","3.38791910712108"
"5","6","274","3","4.85794362765799","2.91837871907323"
"5","6","300","6","5.48684059563","3.44713638182812"
"5","6","340","3","5.46754291318428","3.51469461286846"
"5","6","344","9","5.36423061321343","3.25342636613696"
"5","6","437","18","5.49690647912724","3.08625594681977"
"5","6","833","18","5.56092177855829","3.15515307791374"
"5","6","857","3","5.49244828356539","3.28356567704256"
"5","7","54","6","5.503148510631","3.30966203075452"
"5","7","196","9","5.54634661943654","3.3192823538337"
"5","7","204","6","5.70377479334836","3.45676094816996"
"5","7","274","3","4.80318478624734","2.91743174928796"
"5","7","300","6","5.56185752606144","3.46146937167483"
"5","7","340","3","5.36139908670048","3.25718232676988"
"5","7","344","9","5.22019497103102","3.53399082100492"
"5","7","437","18","5.59238974130221","3.17463236330273"
"5","7","833","18","5.68373014511618","3.05424867207731"
"5","7","857","3","5.49553990764185","3.25832643090845"
"5","8","54","6","5.62170887165044","3.43046557989041"
"5","8","196","9","5.66174766165745","3.41341714907581"
"5","8","204","6","5.78760910496065","3.35352740693772"
"5","8","274","3","4.92757174893295","2.64734010661213"
"5","8","300","6","5.1901414294233","3.46255615137479"
"5","8","340","3","5.44271524784672","3.39548093908709"
"5","8","344","9","5.40715519355791","3.28035137541384"
"5","8","437","18","5.59933511251006","3.06966395410871"
"5","8","833","18","5.50842649050337","2.95553727233428"
"5","8","857","3","5.4857055395636","3.1460990880376"
"5","9","54","6","5.59695402726445","3.335379576925"
"5","9","196","9","5.59778699576642","3.36313174125581"
"5","9","204","6","5.77641827932066","3.45403103459984"
"5","9","274","3","4.63316065807835","2.83585707954092"
"5","9","300","6","5.7201401052078","3.40290917776012"
"5","9","340","3","5.50968299356337","3.30421623585157"
"5","9","344","9","5.26916144025133","3.60465655602279"
"5","9","437","18","5.50192325725424","2.91972372822142"
"5","9","833","18","5.73409801725463","3.14793700525371"
"5","9","857","3","5.50385616656693","3.11123493431965"
"5","10","54","6","5.45666399085533","3.45555322102627"
"5","10","196","9","5.5152924716431","3.24099800593368"
"5","10","204","6","5.62765118492257","3.41435083944436"
"5","10","274","3","4.88831222516619","2.76214762280217"
"5","10","300","6","5.24457946776614","3.39839975234343"
"5","10","340","3","5.4171102815014","3.24294495124581"
"5","10","344","9","5.11546027858391","3.38673469858584"
"5","10","437","18","5.43866606295245","3.02486722351186"
"5","10","833","18","5.49991744591556","2.95018505724615"
"5","10","857","3","5.43465627741247","3.2847411527"
"6","1","54","6","5.75016129771011","3.36674518310688"
"6","1","196","9","5.37962319282369","3.26990960253751"
"6","1","204","6","5.70186929294793","3.46270511547181"
"6","1","274","3","4.89720315142474","2.99068780801258"
"6","1","300","6","5.4498426961628","3.4375130912603"
"6","1","340","3","5.43094209635736","3.2805877217044"
"6","1","344","9","5.3129208624197","3.67370453695604"
"6","1","437","18","5.41971071279338","2.97440341927373"
"6","1","833","18","5.55355757584317","3.13397664944458"
"6","1","857","3","5.70832003767526","3.30019977507924"
"6","2","54","6","5.51775953069539","3.53755443046241"
"6","2","196","9","5.41369643265472","3.40286011169907"
"6","2","204","6","5.62304621580232","3.56031371891535"
"6","2","274","3","4.78599076753737","2.97918801933859"
"6","2","300","6","5.48223966329517","3.62814000968233"
"6","2","340","3","5.37553496711399","3.34506104655542"
"6","2","344","9","5.2174101689765","3.52803378106587"
"6","2","437","18","5.37247082411496","3.02341543114658"
"6","2","833","18","5.46695893797233","3.0973911554777"
"6","2","857","3","5.44234164067215","3.6320230746433"
"6","3","54","6","5.68090178712221","3.55715422247602"
"6","3","196","9","5.6258550190188","3.5125187480827"
"6","3","204","6","5.79539974368064","3.54229365255308"
"6","3","274","3","4.99547170618258","3.07044317366863"
"6","3","300","6","5.54080424304562","3.5414610201534"
"6","3","340","3","5.6682259088357","3.48334672179766"
"6","3","344","9","5.4180131613039","3.66130465646747"
"6","3","437","18","5.50743679998282","3.00262857541273"
"6","3","833","18","5.67889360772706","3.18189903298911"
"6","3","857","3","5.74680221537255","3.53966479542862"
"6","4","54","6","5.6124679637674","3.46516789996467"
"6","4","196","9","5.5837055224661","3.44219302450135"
"6","4","204","6","5.76204714301567","3.54182848100186"
"6","4","274","3","4.92706145649433","2.80176670239152"
"6","4","300","6","5.56001111561428","3.58416139421576"
"6","4","340","3","5.53882290614812","3.2404265020717"
