"infant","age","x","y"
"344","9","2.01029034352842","-0.997864123237068"
"833","18","-0.166156567235644","2.3762702998365"
"204","6","1.16400799873885","-2.77516266489822"
"833","18","-0.252117686805816","-1.99277922007377"
"833","18","-1.40399212155371","3.2739334320101"
"204","6","-2.49293521186432","1.14383192414958"
"196","9","1.59166931756038","-0.251132380964692"
"204","6","0.588471838284256","5.13034421074582"
"857","3","-1.20873621232084","-3.65006018887653"
"833","18","-0.433447521047787","-2.76916254438847"
"833","18","0.0400148552436996","1.56104378913902"
"204","6","-0.382542880267623","3.29883441601993"
"344","9","1.2821815115038","5.00410900039265"
"833","18","0.245809198741748","2.4501715594763"
"340","3","-0.77788609124775","3.91299391027857"
"833","18","-0.166106108355795","-0.519825689695213"
"54","6","-0.839631029202333","-2.56522093543752"
"204","6","-0.0437541047909543","-1.67663169198338"
"833","18","-0.607852477287837","2.65843699747075"
"274","3","-0.693023597894681","0.740188743614149"
"833","18","0.254944954379602","-0.428093299419945"
"54","6","-0.892440452315346","-2.86444513699504"
"833","18","-2.55983073175836","-2.3643989312261"
"204","6","1.98420065618295","-2.25615056007541"
"833","18","3.03798219704559","1.42155318018648"
"300","6","-0.103969346717247","0.831293628194512"
"204","6","0.0273389496884155","1.99186404136781"
"204","6","-0.853779672825147","-0.25033786120776"
"833","18","-1.94666231795276","1.97873945876497"
"340","3","-2.1181731049047","-1.4088328850552"
"340","3","-1.51307504565122","-4.13111301668654"
"300","6","0.666359532726033","-3.26349560286087"
"196","9","-1.69655571658441","-1.79522114946876"
"204","6","-3.33515724411515","0.0976158112010856"
"344","9","1.14342390067958","4.35292496753799"
"274","3","-0.894250637838753","3.9483714410053"
"300","6","0.361328459823729","-3.38226637188157"
"857","3","-1.39051103588539","-4.12829296728938"
"833","18","0.028633426203474","-0.0153381235336268"
"833","18","-1.35751576612161","-2.56449364891518"
"833","18","0.16359461380654","-1.93257986634032"
"437","18","0.299330538520981","2.11368364643048"
"54","6","-2.75844196352234","0.230735871016299"
"54","6","-1.071604040099","0.101305369319266"
"340","3","-0.672151516013356","-3.70987826526585"
"833","18","-1.14631439274419","-0.39825425932312"
"437","18","-0.433835896664286","-2.4465058774269"
"833","18","2.92728376175479","-2.57382495193889"
"54","6","-1.23308298962646","0.212684947772537"
"54","6","-1.83999413704075","-2.00867669993748"
"204","6","-0.48042851315822","4.59565318143786"
"196","9","0.835961308228584","-3.37817747855265"
"54","6","-1.09019093379633","-3.17444131241824"
"300","6","-0.198468076969282","4.99102453464862"
"833","18","-0.400657715772767","-3.08435030391765"
"857","3","-1.51500579726745","-3.90449505286274"
"857","3","-0.420436858941465","-3.87137177656071"
"204","6","-2.0275752738019","1.85697781713833"
"833","18","-0.145403528195924","-2.20624437229479"
"857","3","1.2691487445183","-4.02172497177597"
"437","18","-2.0651290311046","-1.02520633061488"
"54","6","-2.60729344090558","-1.10637600991383"
"833","18","0.523073949126201","0.65386289535447"
"204","6","-2.73210249392401","0.319147977834812"
"833","18","-0.0962943464298299","3.45076319092567"
"274","3","0.907149260065605","1.41280114635698"
"204","6","-0.443763767840593","-1.46840457333675"
"437","18","2.5015838443308","-2.11817119882095"
"437","18","2.38960534574305","-2.51544185345683"
"340","3","-0.372930395534148","5.09335522170848"
"833","18","-0.458290248262614","-1.73669010914567"
"857","3","1.21141616757136","-3.55132047029033"
"833","18","2.6927792937364","0.346774549972039"
"54","6","2.99392042734179","-2.09004751892912"
"833","18","-2.05353976889403","-2.06499879518406"
"204","6","-2.17527216984106","-2.72249259046699"
"196","9","2.07870585517492","-2.9635620392965"
"344","9","2.89455637617874","-0.203996084255448"
"437","18","0.158284639917323","-1.93268326031879"
"833","18","-0.636988531228263","-3.24452608904856"
"833","18","-1.66722699854026","-0.726156132915855"
"340","3","-1.77050393813527","-3.42707878322355"
"54","6","-2.04690856386113","-2.8885671622099"
"196","9","2.00164236098941","-1.73142404143869"
"833","18","2.40385996587828","-2.13592680989666"
"196","9","1.47605974192338","-3.05303891249896"
"437","18","0.299932767634165","4.51410459182939"
"54","6","-2.98286293513013","-0.607599818663195"
"833","18","3.69625504028779","0.353083263716955"
"344","9","0.244499867690186","5.25804927965005"
"857","3","2.17005060880831","-2.36846750985595"
"833","18","0.0752956998216131","3.98856679494229"
"54","6","-1.55695973906583","2.76984347338964"
"196","9","2.24956658663112","-2.82095210931441"
"833","18","0.0823191277472826","-2.87442114385019"
"857","3","-2.23948483950939","-1.99878191447478"
"833","18","-2.43201809392804","-2.12922017673985"
"340","3","-0.177185540494075","5.4445818992318"
"196","9","0.670512292115575","2.95872022278533"
"196","9","1.2221905855938","2.96304568373003"
"857","3","-1.07576553587413","-4.00210476981601"
"204","6","-0.408777288393217","-0.503409504028323"
"857","3","-1.08844120592962","-3.53648728647325"
"54","6","-2.68902265219777","0.159181658597838"
"300","6","-2.69985062036469","-0.15483516870503"
"833","18","-0.0552351507592032","1.09895171337092"
"857","3","-0.172794436076324","-1.33715579747139"
"857","3","1.64709501005595","-4.03489524490821"
"437","18","1.35421793719456","1.10826965437857"
"437","18","0.3811329229766","4.75127682396234"
"437","18","-2.27379010913244","0.968835870306635"
"833","18","2.28645077719282","-1.29422099374567"
"857","3","2.02552965353479","-3.77852741004848"
"274","3","-0.0148678654165968","-3.54016620599347"
"437","18","0.27081108509388","-1.04158192273963"
"833","18","1.07756944765185","3.69594191601099"
"300","6","-1.3668287445086","-0.503587193024314"
"833","18","-0.95302682048743","-2.66268641022545"
"340","3","-2.4317866462887","-2.46306962107496"
"204","6","0.0913663084522438","-3.63741958854179"
"300","6","-0.866940278633824","3.75092910613968"
"833","18","0.0322993021792123","1.35607882469637"
"196","9","-0.32613404269318","-2.80389374646852"
"344","9","1.76776087998285","4.44311313130955"
"204","6","-2.49195288882824","-0.434909936788441"
"274","3","-0.667527641804436","1.361847337847"
"344","9","0.0156663481130277","-2.41734317131929"
"54","6","-1.16341828722165","-1.97103457919873"
"857","3","-1.00182520384804","-3.90951955657852"
"54","6","-1.3948470139756","0.265472815681246"
"54","6","-1.64985796606529","-3.18993033594747"
"833","18","-0.938157479367373","0.670036753537494"
"833","18","2.92823739722303","-1.97854035300173"
"833","18","-1.64934659234349","-2.37919281675432"
"857","3","-1.69084498158772","-1.94415074500732"
"437","18","-0.585447352703639","-3.0691228701733"
"833","18","-0.571240084486952","-2.62336517248576"
"54","6","-1.1647573940315","-0.506273527676507"
"833","18","1.28503256837518","2.03547436522547"
"857","3","-1.34090475102405","-3.76215509379445"
"196","9","-1.47271439916342","-0.0292171385862518"
"196","9","0.236457492327874","-0.210313347458448"
"196","9","-2.3943059322427","-2.1601266104038"
"833","18","0.94084728888538","4.02707187673398"
"437","18","-1.32347960061214","1.59529867924125"
"340","3","0.564698583598026","4.68311085507829"
"833","18","0.634012511461252","0.403320297314327"
"857","3","-1.32997782562122","-3.88069690117523"
"833","18","-0.476439974842","-3.0616885843133"
"196","9","-1.59484115188433","0.917087613869838"
"204","6","-0.951359202525711","-1.18771430860456"
"857","3","-1.08674978344419","-3.79880832151476"
"204","6","2.87484215614023","0.883852310430892"
"196","9","0.289100144333668","5.32089151039068"
"54","6","0.894442520737388","1.95594020482323"
"857","3","-2.21210513190414","-2.44639677833426"
"833","18","1.3427518520763","-2.18997670637502"
"54","6","-2.62877159948032","-0.196281297192205"
"340","3","-1.20346116810721","3.91084106250296"
"300","6","0.727392156942398","2.91851421136354"
"274","3","-0.506831801300412","1.10723395052466"
"833","18","0.187229319532875","-2.38002430986342"
"857","3","-0.981024957014893","-3.95221408237486"
"857","3","0.787038570986813","4.0643904977559"
"437","18","-0.893710903384188","-3.95373909202341"
"340","3","-0.225338200575313","5.15267842342834"
"833","18","0.342190725030648","-1.88878004520588"
"857","3","-0.232571374650418","-3.28433043125256"
"344","9","0.848249186261366","0.457782856586395"
"437","18","-0.51649039591227","-0.845809367466519"
"857","3","-0.514125327289464","4.66405082544141"
"54","6","0.329973196801954","5.18457707957234"
"196","9","1.88360745386188","-2.5166468396203"
"437","18","2.28012262064485","-3.6457578268126"
"300","6","2.36271998585529","-3.6445468445837"
"204","6","-1.96475522694925","-1.35940206501103"
"857","3","-0.886383108134121","-4.1600031466519"
"857","3","-1.75854325491152","-3.57097971360032"
"274","3","-0.0977768796589012","4.35523416859351"
"54","6","-1.51182864724255","-2.13318780577564"
"54","6","0.422497730273842","-2.50942967057917"
"54","6","-0.844945152684048","-0.409851048863285"
"833","18","-0.78963741454491","-2.75158910710718"
"833","18","0.831806637325065","0.497077891190679"
"300","6","1.55371224254561","-2.79133465591041"
"833","18","0.77567027933022","-0.0371927387631319"
"204","6","-2.20527584105185","-0.0848529229576512"
"344","9","-1.35620893588869","3.16585789098221"
"833","18","-1.21024999998478","-0.298885846195065"
"437","18","-2.57218637700219","0.238247252999803"
"196","9","2.89632149677324","0.565098996495558"
"54","6","-2.50123060033585","-1.47134083014044"
"857","3","-2.02449052558814","-3.68067057353234"
"196","9","1.12277401415962","-2.1695381779231"
"833","18","-1.89806211479833","-1.49607454073517"
"54","6","-3.18383015774109","-0.238626190571057"
"196","9","-2.88089020115675","-0.541136029603689"
"857","3","-0.918515923495544","-4.08683404024774"
"204","6","-0.795084911890773","-2.65051162567209"
"857","3","-0.260750686383707","-3.75200521676352"
"54","6","-2.35732929432767","-2.23471530000841"
"204","6","-1.51633270470283","-0.334919626666836"
"857","3","-0.420379051143496","-2.40115965118003"
"204","6","2.81252821861292","-1.78524802028306"
"54","6","-1.02985972182482","-3.75450374232412"
"437","18","-2.58224425277062","-1.4519143110135"
"437","18","2.25432732081191","-1.98293166388542"
"204","6","-1.35397760600277","-2.0060916986783"
"344","9","-0.190578801940666","5.01568143348283"
"340","3","-1.92137084874051","2.19566603336728"
"300","6","0.833243991058893","1.94751583052045"
"204","6","-2.10200291896205","1.98411970142354"
"833","18","0.628016126913944","0.617646924794103"
"340","3","-1.91513051838042","-3.19105093954382"
"437","18","-0.997731400842404","-1.73790498843994"
"833","18","-2.09053602088612","-0.00377799368103227"
"204","6","-0.949186609921499","-0.0198546008381192"
"340","3","-2.51178223871507","-1.54118971004403"
"857","3","0.144834959610861","-1.70647599020703"
"833","18","2.60690486411126","1.30659409165122"
"857","3","0.487448414123014","3.22302117299327"
"300","6","2.08688735887368","-3.52240574080637"
"833","18","0.572240459433746","4.59067724979904"
"833","18","-1.03399031689793","0.664204012539425"
"833","18","2.20757999920109","-2.26057085328845"
"833","18","2.4147223487984","-2.27494169343632"
"833","18","-0.385335108348394","-1.00248158942966"
"300","6","-3.30701721260675","-2.26705072526068"
"204","6","-2.62480575299663","0.645191108581112"
"54","6","-2.63744889954824","-1.61699955043438"
"204","6","-1.40407881701916","3.58026975897689"
"857","3","-0.454740480232611","-3.02858347462543"
"833","18","0.245800427662307","1.74038134963079"
"833","18","0.145935237867724","-2.20318184761032"
"833","18","1.46533965531477","-1.56749900325719"
"833","18","-0.026397657458355","2.44579948463797"
"833","18","-1.50885299170137","2.84269388889997"
"340","3","-2.27770311802495","-2.29806527303472"
"857","3","-0.213465825969878","-1.68371489062856"
"340","3","0.0928759486463557","4.63021034726538"
"300","6","2.8077188110114","-1.79857250966053"
"204","6","-1.08767359681569","1.93389217551817"
"340","3","-0.926453148086136","-3.97050758980874"
"340","3","-0.731165098583494","-0.215787877459341"
"204","6","-2.67424768711116","-0.578006477506081"
"204","6","1.25065376542848","4.88410125582407"
"833","18","0.843134426339748","0.00733976942015433"
"437","18","1.62688337078014","-2.94348874456022"
"833","18","-2.45857968235813","-3.64944315568075"
"833","18","-0.13674477841331","-3.06995529830356"
"54","6","-0.0913594413760256","-0.759446318015001"
"54","6","-3.09913532621564","-0.541543206409664"
"204","6","-0.443551409900986","-0.589314336975588"
"857","3","-1.29345366116033","-3.9841666690185"
"857","3","-0.816795032485907","-3.03138632958224"
"437","18","-2.15154318152887","0.98614543634516"
"196","9","0.0499408367044173","3.6643485922857"
"196","9","-1.51314318701283","4.68560169996585"
"833","18","0.285798764677974","-1.64791778181884"
"196","9","1.38170147114078","4.76087941133616"
"340","3","-0.0454979440542826","-4.29589007406383"
"196","9","-2.24125642069117","1.84636345376937"
"204","6","-1.52297706152021","2.65158581898852"
"54","6","-0.538247811391333","-2.90528687599509"
"833","18","-0.584869632866592","3.55147195944753"
"833","18","2.98458205336866","-1.64053178520873"
"833","18","-0.543172432450956","-3.74379397075095"
"833","18","0.56370675760981","-2.74861845213962"
"857","3","1.11422988837718","-3.57982296158183"
"833","18","0.283362393455658","-2.50434458626763"
"204","6","1.44711477784976","4.16740499111636"
"857","3","-0.647012574744518","-3.48174606481226"
"204","6","1.88985220342825","-2.33535013477722"
"204","6","-0.666184655641112","-3.87285271394014"
"833","18","2.20445623437874","-2.63564969576188"
"54","6","-0.646791340382788","4.79606110940653"
