"infant","age","x","y"
"344","9","-1.93286112230589","0.962838998165266"
"833","18","1.68451001232908","3.70574439006872"
"204","6","-2.68348452705673","-1.40435366499656"
"833","18","-0.556122494025897","-1.25929292594493"
"833","18","2.38388031568092","3.50079100996071"
"204","6","2.60433507372206","0.847989935203923"
"196","9","-1.16118694720324","0.392696583447506"
"204","6","2.17264703229935","5.27823031765963"
"857","3","-1.50897497026644","-4.08420849384851"
"833","18","-0.38767608328154","-1.11533888427484"
"833","18","0.540012157353513","1.01612183537035"
"204","6","2.50393594989647","3.8423460138103"
"344","9","1.72640385358959","5.00506266807435"
"833","18","1.08359124725095","2.24808162343861"
"340","3","2.31647028191654","4.08406533073434"
"833","18","0.00218189790747825","0.420618244385027"
"54","6","0.645963979147428","-2.21164517797721"
"204","6","-0.575762664061424","-0.964415818445435"
"833","18","1.40311085579382","2.75195173381692"
"274","3","0.145849484290855","0.0934997963943376"
"833","18","0.362874453826155","1.19287914087604"
"54","6","0.908700932205117","-2.963222202361"
"833","18","0.360522383545152","-0.720010321617339"
"204","6","-2.8136297712387","0.51617420878418"
"833","18","-1.14393440002374","1.45325171077509"
"300","6","2.31445850314126","-3.32588261006949"
"204","6","0.656157113027624","1.09497083422505"
"204","6","-0.307913643937336","-0.0565117624062044"
"833","18","2.01052205183877","2.70236239987029"
"340","3","1.02261236664774","-1.97940835665759"
"340","3","-0.368617951303478","-3.18933167396615"
"300","6","-2.36768777773348","-1.63986993598467"
"196","9","0.906280611543287","-2.22946367667482"
"204","6","2.68278560075272","0.178783687014023"
"344","9","1.29323736441579","4.95865793161034"
"274","3","2.45201623775171","3.23360702529624"
"300","6","-2.79872285229654","-2.03480552085042"
"857","3","-1.80236312853903","-3.41046655810261"
"833","18","-0.238802464796385","0.388215768607579"
"833","18","-0.529307865396003","-0.622313551929881"
"833","18","-0.86986613102904","-1.12877091048545"
"437","18","0.567273533078231","1.42241001894485"
"54","6","2.78022530817292","-2.40492337568955"
"54","6","2.54843657690494","-1.81974217201196"
"340","3","-2.12580025339617","-3.06611051929232"
"833","18","0.202974153179851","0.270240350814186"
"437","18","-0.543311048083614","-1.47322993834946"
"833","18","-3.65577052756333","-0.591430612347641"
"54","6","1.98610106670128","-2.06267858284749"
"54","6","2.1108006470556","-2.586037152721"
"204","6","2.68497224307684","3.89078702496377"
"196","9","-2.46717879137238","-0.673056759343368"
"54","6","2.02029199590114","-2.97414582151602"
"300","6","2.32735040766976","5.25771552117357"
"833","18","-0.689361799930345","-2.44069992776206"
"857","3","-0.469272594076707","-3.45136319475423"
"857","3","-1.14621607782309","-3.11663738525417"
"204","6","2.20314013390434","1.65759479783214"
