"infant","age","entropy_avg","entropy_sd","avgpairdist_avg","avgpairdist_sd","avgmfccdist","nRuns"
"196","9",5.57609857013469,0.0471684907565893,3.62286829125039,0.145183250769078,8.30613349316571,10
"204","6",5.43247288192926,0.0962456792183331,3.40566528137885,0.0772436700785062,8.45745085948438,10
"274","3",4.5356538167142,0.106272131389468,2.81522048991964,0.096269187125366,5.9062020606706,10
"300","6",5.07461883544699,0.105004739626674,3.61455265416102,0.139929907703941,8.43242253362317,10
"340","3",4.72030596545948,0.157047378513471,3.58765029305853,0.151672312598921,7.28610172488131,10
"344","9",4.57651983637118,0.131759485475437,3.08003966246744,0.222513599636969,7.21782978515492,10
"437","18",5.46123499699097,0.071255426100783,3.4076591936429,0.137067082157903,7.27641777251465,10
"54","6",4.85707285113566,0.137679877867525,2.9368484531427,0.0936707863245849,7.14803497831975,10
"833","18",5.47954944450629,0.0622846295944242,3.23448928599156,0.120478635931873,6.93113896726936,10
"857","3",4.78635231997508,0.0903390717082293,2.93430612389322,0.184042454404094,7.24230790973566,10
