"w2v2Layer","infant","age","entropy_avg","entropy_sd","avgpairdist_avg","avgpairdist_sd","avgmfccdist","nRuns"
10,"196",NA,NA,NA,NA,NA,37.1750906855852,0
10,"204",NA,NA,NA,NA,NA,39.4015805831409,0
10,"274",NA,NA,NA,NA,NA,35.1330546534918,0
10,"300",NA,NA,NA,NA,NA,36.5390124170405,0
10,"340",NA,NA,NA,NA,NA,36.5182027601006,0
10,"344",NA,NA,NA,NA,NA,39.2039455473186,0
10,"437",NA,NA,NA,NA,NA,36.4332896959526,0
10,"833",NA,NA,NA,NA,NA,36.64171070909,0
10,"857",NA,NA,NA,NA,NA,39.2892134759521,0
11,"54",NA,NA,NA,NA,NA,37.1447482303103,0
11,"196",NA,NA,NA,NA,NA,37.5381859116572,0
11,"204",NA,NA,NA,NA,NA,38.0146439869723,0
11,"274",NA,NA,NA,NA,NA,36.5682039875004,0
11,"300",NA,NA,NA,NA,NA,35.2727740033022,0
11,"340",NA,NA,NA,NA,NA,35.3955169790526,0
11,"344",NA,NA,NA,NA,NA,37.7744285610869,0
11,"437",NA,NA,NA,NA,NA,36.9029295717831,0
11,"833",NA,NA,NA,NA,NA,36.7377779637619,0
11,"857",NA,NA,NA,NA,NA,37.8193182799495,0
12,"54",NA,NA,NA,NA,NA,37.1719742088312,0
12,"196",NA,NA,NA,NA,NA,37.1489005220612,0
12,"204",NA,NA,NA,NA,NA,38.6377460845453,0
12,"274",NA,NA,NA,NA,NA,35.623208432175,0
12,"300",NA,NA,NA,NA,NA,34.8569511453422,0
12,"340",NA,NA,NA,NA,NA,35.4857416462351,0
12,"344",NA,NA,NA,NA,NA,37.9858691618582,0
12,"437",NA,NA,NA,NA,NA,35.9984175550715,0
12,"833",NA,NA,NA,NA,NA,36.5727535426124,0
12,"857",NA,NA,NA,NA,NA,38.019441148928,0
