file1,file2,score
196_272_38082.24_38082.84.wav,437_548_26968.68_26969.49.wav,2
833_551_11752.73_11753.58.wav,833_551_28423.15_28424.01.wav,3
340_91_20509.83_20511.wav,340_91_13713.97_13715.09.wav,2
833_551_35350.27_35350.96.wav,204_189_37200.07_37201.wav,3
833_551_10393.58_10394.18.wav,857_91_21563.08_21563.69.wav,2
437_548_32619.5_32620.53.wav,340_91_39662.81_39667.28.wav,4
54_183_10590.06_10591.wav,340_91_39150.37_39151.43.wav,2
833_551_11285.75_11286.72.wav,833_551_18344.85_18346.29.wav,4
833_551_7686.76_7687.65.wav,204_189_2853.44_2854.44.wav,4
54_183_14558.57_14561.38.wav,857_91_48309.26_48310.38.wav,4
857_91_9905.51_9906.11.wav,857_91_55868.54_55873.06.wav,4
833_551_5327.65_5328.25.wav,833_551_15087.83_15090.16.wav,4
857_91_28811.66_28813.21.wav,833_551_33768.54_33769.47.wav,4
340_91_13853.88_13854.48.wav,274_81_163.88_164.58.wav,2
857_91_4117.04_4120.48.wav,274_81_28687.02_28688.46.wav,4
857_91_29443.95_29444.98.wav,437_548_8971.69_8972.54.wav,3
196_272_1637.15_1637.75.wav,437_548_42531.91_42532.51.wav,3
344_283_27871.88_27872.9.wav,204_189_31152.58_31153.22.wav,3
833_551_17036.08_17036.9.wav,54_183_17123.21_17123.81.wav,3
204_189_36191.7_36195.54.wav,204_189_13202.93_13204.9.wav,3
857_91_19001.06_19001.97.wav,54_183_5750.17_5759.85.wav,4
340_91_12569.83_12570.61.wav,300_187_8623.25_8623.85.wav,4
204_189_46558.72_46559.32.wav,833_551_4027.73_4028.45.wav,4
340_91_14012.38_14015.23.wav,857_91_36804.96_36805.77.wav,4
833_551_3725.37_3726.17.wav,204_189_908.38_910.66.wav,5
54_183_30392.64_30393.44.wav,340_91_14021.01_14023.02.wav,4
857_91_19037.69_19038.54.wav,54_183_29991.57_29994.55.wav,5
274_81_31777.03_31778.15.wav,857_91_54572.13_54574.1.wav,3
204_189_35806.89_35807.49.wav,204_189_46892.45_46894.18.wav,4
857_91_23776.66_23777.27.wav,196_272_2427.24_2427.84.wav,5
204_189_13922.24_13924.52.wav,437_548_42346.1_42346.74.wav,5
857_91_36187.65_36188.68.wav,204_189_46383.48_46385.wav,4
204_189_3627.48_3628.5.wav,300_187_6593.9_6594.7.wav,2
857_91_54364.09_54364.7.wav,833_551_4676.53_4677.21.wav,5
204_189_13366.79_13367.88.wav,857_91_16195.9_16197.74.wav,5
340_91_34266.33_34268.32.wav,857_91_48443.58_48444.58.wav,2
437_548_5505.95_5506.59.wav,833_551_9764.12_9764.72.wav,3
54_183_23951.75_23952.46.wav,344_283_24766.34_24767.wav,3
54_183_10648.02_10649.07.wav,54_183_1957.75_1958.35.wav,3
204_189_30302.76_30304.22.wav,54_183_30746.32_30747.15.wav,3
857_91_9348.37_9349.53.wav,300_187_8797.71_8798.43.wav,3
344_283_18907.04_18907.64.wav,54_183_29882.84_29884.49.wav,5
833_551_16953.17_16953.77.wav,344_283_30042.66_30043.26.wav,4
204_189_3603.8_3605.44.wav,437_548_32646.14_32647.36.wav,4
54_183_30463.15_30463.98.wav,857_91_46011.9_46012.56.wav,3
54_183_30429.76_30431.69.wav,344_283_36720.38_36720.98.wav,4
437_548_42523.13_42524.07.wav,340_91_39675.95_39676.55.wav,3
340_91_12605.35_12607.38.wav,54_183_10712.47_10716.61.wav,3
833_551_36345.66_36346.26.wav,204_189_37100.74_37101.68.wav,3
833_551_3087_3088.1.wav,437_548_30060.21_30061.48.wav,4
204_189_969.2_972.03.wav,196_272_22926.94_22936.03.wav,4
437_548_5155.46_5156.06.wav,54_183_28855.23_28862.19.wav,4
196_272_26129.03_26129.63.wav,204_189_17720.36_17722.22.wav,4
833_551_27402.88_27403.48.wav,833_551_16954.57_16955.34.wav,3
833_551_4328.43_4329.09.wav,833_551_37310_37310.6.wav,3
833_551_38407.01_38407.61.wav,857_91_24174.75_24175.38.wav,4
54_183_9375.24_9376.53.wav,833_551_13549.17_13549.78.wav,3
833_551_38880.87_38881.49.wav,204_189_17347.74_17349.95.wav,4
54_183_16423.89_16425.46.wav,196_272_22692.86_22697.05.wav,5
833_551_2892.4_2893.12.wav,340_91_37352.08_37353.46.wav,4
437_548_5758.79_5759.96.wav,54_183_9417.41_9418.46.wav,2
340_91_34212.15_34212.81.wav,204_189_14772.37_14773.89.wav,3
857_91_34707.19_34708.38.wav,54_183_9036.31_9038.28.wav,3
833_551_39503.3_39503.9.wav,54_183_10353.84_10355.5.wav,3
54_183_40598.9_40632.05.wav,54_183_29873.15_29873.96.wav,4
196_272_28930.05_28930.75.wav,204_189_46427.38_46427.99.wav,4
196_272_29023.86_29024.47.wav,437_548_29367.35_29372.77.wav,5
833_551_15853.4_15854.wav,833_551_11904.69_11906.7.wav,5
274_81_140.07_140.75.wav,833_551_13645.96_13646.99.wav,4
833_551_17080.23_17082.11.wav,54_183_40598.9_40632.05.wav,4
54_183_29910.1_29911.55.wav,833_551_2258.7_2259.38.wav,4
204_189_27873.73_27876.11.wav,833_551_28417.56_28418.19.wav,5
196_272_20810.46_20811.6.wav,857_91_3600.94_3601.99.wav,2
196_272_41729.96_41730.56.wav,204_189_17015.91_17020.65.wav,4
833_551_16954.57_16955.34.wav,833_551_7346.3_7346.93.wav,2
54_183_40688.73_40694.8.wav,54_183_30362.88_30363.49.wav,2
204_189_3593.5_3594.15.wav,833_551_10035.4_10036.15.wav,3
54_183_17004.12_17004.73.wav,833_551_28958.71_28959.66.wav,3
833_551_19317.24_19317.84.wav,857_91_36112.18_36112.78.wav,3
54_183_10216.06_10216.66.wav,833_551_35529.19_35530.wav,4
437_548_4452.94_4453.97.wav,54_183_29885.29_29894.11.wav,4
340_91_34201.03_34203.08.wav,54_183_5967.23_5968.25.wav,3
204_189_30920.19_30920.81.wav,204_189_46580.16_46580.76.wav,4
54_183_23983.46_23991.18.wav,833_551_4297.73_4299.22.wav,4
54_183_14462.14_14462.81.wav,204_189_17880.83_17882.5.wav,3
833_551_9798.47_9799.32.wav,833_551_1859.39_1859.99.wav,4
300_187_5419.27_5419.87.wav,196_272_20629.99_20630.59.wav,2
437_548_16081.02_16081.84.wav,857_91_48309.26_48310.38.wav,2
344_283_34894.62_34895.74.wav,833_551_3302.05_3302.88.wav,4
196_272_36498.18_36505.16.wav,340_91_438.33_439.53.wav,2
344_283_9807.62_9808.75.wav,204_189_46890.23_46891.65.wav,4
833_551_11179.19_11180.07.wav,833_551_21026.5_21027.47.wav,3
437_548_30194.01_30194.62.wav,857_91_26987.08_26994.55.wav,4
437_548_5312.49_5313.23.wav,340_91_38715.16_38717.62.wav,5
54_183_23943.95_23947.25.wav,54_183_40764.64_40767.7.wav,4
833_551_18295.29_18295.9.wav,833_551_7272.41_7273.26.wav,4
204_189_29013.1_29014.76.wav,833_551_6379.1_6379.71.wav,4
