"","wavFile","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"1","437_548_10111.95_10112.69.wav","6741.22517955881","-889.232020669526","-721.144549892241","-574.053126627766","255.558323736602","118.550902511863","-591.940157932863","383.180861547179","-587.679174869968","-73.2575538642313","-130.930657037726","116.020929330156","-70443.699000979","-68040.6240174786","-61856.8389987102","-44439.4045645299","-24547.3659580066","4731.26348696842","2441.39725153085","1221.47335181941","-100.158910792039","2036.19202246042","3627.04324399564","1667.96913648894","281175.010469275","498984.297955874","632459.158012775","688169.226218321","666927.593020622","583887.823465747","446746.942691074","261021.023318743","98857.4679821142","-9953.26802291704","1413.80810243132","4394.8474010713"
"2","437_548_10113.52_10117.86.wav","39784.7498210218","-5547.51949837184","-2700.20055989798","-1744.27024256927","-248.860483937762","-119.251602110203","-247.711876263685","944.865032770943","-2947.31600443767","149.022751012509","369.871671603862","551.71414086834","-415023.671491845","-405259.827115509","-356105.822412655","-262149.048376377","-144921.113700682","27424.2418222729","13627.3735006341","8877.07857844679","5654.52054213674","7613.02691554658","9419.00307328816","9911.71211728379","1666633.64304577","2944766.42194009","3725263.81423373","4058108.98184614","3954163.16724302","3437373.18609956","2553989.63306135","1503668.1095246","557112.921639303","-75363.3533611823","-945.676564859151","22000.188328259"
"3","437_548_11448.38_11450.79.wav","23089.037523622","-3748.67272215855","-2245.0517553331","-459.098562254135","-760.885332152173","1.36995878897299","-259.680390055482","-249.833738788631","-1710.59363098032","2013.87526146836","599.679556522617","-695.410407091872","-243549.988484417","-236330.800277363","-207068.145900853","-154417.387005599","-84270.7964167014","25573.3008965937","16647.2264233565","5710.5446511074","2153.98749601189","-2675.1916637361","-3758.56929383862","-5450.41830228258","984697.446081491","1769077.77926838","2248630.52518131","2424239.32909748","2336361.37125774","1983462.72079857","1421451.70403359","766414.332133851","173013.027111812","-218622.293669053","-139857.505997862","-74699.3714939804"
"4","437_548_11506.97_11507.77.wav","7072.54261115087","-1412.43780000892","-1042.80078283709","226.728209618532","329.360536839375","-339.928545625573","-346.520833503005","-178.243653442058","20.4409879181637","509.857662367263","-648.036047533825","-77.3855778067449","-72225.8387009787","-71686.4030470929","-63760.8653879404","-47743.1555638902","-23679.9209098062","9393.08206530694","1972.29309380037","-2082.11066541386","-754.284667380308","1390.81675418273","596.218878067157","-493.883405254406","285101.102855918","529543.776025876","662684.372543521","705409.222229531","683301.64787211","598302.925167342","439206.33377238","243094.399614734","63804.0325946531","-42419.4333136434","-6463.92185092614","2274.61022481965"
"5","437_548_11516.22_11517.35.wav","8878.40980940928","-1362.46790812813","-985.240329579745","-244.289231091321","203.748974602183","-527.439399426261","-508.684144939653","524.209914936838","-1027.94467963289","125.761545199683","120.221065367899","-77.9227865823707","-92034.9184562456","-91756.4275597536","-81997.0664364797","-58719.0351193509","-33295.4222860285","6649.36993566629","4120.25991455656","1202.02340489161","1081.22484467141","3034.25086840978","1613.00678319048","-163.977642439663","355259.829627576","647625.260771854","831189.963439781","906926.541698246","888942.983854694","785655.386805177","583006.098572588","328676.243910904","108903.457040823","-42306.3231395561","-26923.5868550503","-17373.0530979874"
"6","437_548_11529.28_11530.09.wav","4355.95476926693","-513.557105050766","-555.598712896488","-310.941079662117","-118.407002024253","-39.488162704331","-101.950632394968","-364.716611538769","-667.57813402117","155.168497190477","-159.506054595074","-128.696818596657","-46590.7534705964","-45250.2022217801","-39764.0579197551","-30871.0721326434","-18468.8610546556","2247.8694514669","1559.12865093517","429.365704712792","95.9890303624389","543.038483135944","1394.97194908147","2023.80172246613","174640.556028121","317986.227162823","409738.312173335","448821.463277425","439550.988508805","385381.96905032","294189.647745966","186298.192874415","81083.8072962003","4985.60325281545","11978.3889629214","15751.5383993695"
"7","437_548_11541.93_11542.79.wav","6858.61453675116","-1115.96818589592","-636.381778599931","58.4669655342796","-151.986126347143","-345.844602492084","-85.8824217000892","132.991584341753","-779.595758006833","572.038341297757","45.9791383494209","-76.7258769601897","-71407.4207193931","-70944.9300040527","-62238.1314263012","-45711.3398659309","-26109.2747225456","6537.53711281599","3493.7747186023","1195.17697538475","1811.16705119852","1510.08451009964","164.449338889112","-150.493653893342","277081.895849301","508235.720319395","649269.537380426","706207.768030591","693007.361289233","605384.036612888","441773.11959891","249327.044159618","77427.2887497696","-42022.98715519","-24197.9849519936","-14903.7639531564"
"8","437_548_11553.15_11553.88.wav","5254.65271299426","-874.275952080889","-393.805650963184","-87.1907269732782","-53.7720150058764","-418.615101165069","-298.903076920978","393.364517968554","-431.536700542953","136.552463726985","190.484112448616","-299.524870211803","-54685.0746248931","-54950.4906845302","-49063.7908330315","-34854.4648120596","-19083.4554701079","4646.09994246075","3064.83887380747","861.133315571514","96.2215965337145","-289.262419428556","-2253.20901098086","-3737.68571226597","212875.457581728","389412.0591513","500292.441878905","544608.088874866","530317.881054211","459704.44094828","325512.32197249","162118.513775503","24445.2305626107","-65489.7850403168","-52122.793338243","-38278.3213247089"
"9","437_548_11555.59_11556.51.wav","8179.36911710733","-1220.19127970172","-561.096520913325","-308.78290316692","-1096.42075859685","268.093309267328","-231.449527451147","-664.340888987203","-678.01283295618","-14.9396600775724","-249.485217060982","650.614670460353","-89448.1072364898","-85189.2425370416","-75017.2733766275","-58166.051017799","-32525.8064287519","4624.11280187315","2032.35659770424","5365.76767492187","8749.03564949786","7234.71677329691","10795.9328073597","11476.913296637","354655.904306197","624050.72887391","789006.308586583","875815.068773934","881343.025948177","782616.564731628","622746.467138784","420474.96196072","215965.381903533","70014.0604771457","65809.6154784948","41793.5889642355"
"10","437_548_11571.22_11571.86.wav","5100.35326471187","-616.160754094284","-613.306193726949","-219.538249118139","89.1504997255518","43.8981763336214","-305.789675158221","-109.234023239491","-469.527075116481","273.016992323755","193.978360763835","-185.331223060058","-53148.3185371191","-51612.8711345708","-46419.7200496116","-35034.2034171074","-19880.2717041598","3813.71661837707","3436.31659303164","745.811919369181","-403.828001916116","-44.2312050410465","363.585697659987","-747.807257704515","202407.177069435","370609.109848393","480339.407370473","522723.051067753","506614.004623403","439198.85483135","327988.122330765","186321.116601287","55909.7812424228","-33018.2917111062","-22608.887498406","-9524.95953635146"
