"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"1",1,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",37.35,37.95
"2",1,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",39.25,39.91
"3",2,2,3,2,2,FALSE,"0300_000607_scrubbed.wav",77.74,78.34
"4",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",80.01,80.64
"5",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",83.77,84.38
"6",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",87.07,87.98
"7",2,2,3,2,2,FALSE,"0300_000607_scrubbed.wav",94.82,96.03
"8",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",96.83,98.84
"9",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",99.96,101.02
"10",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",101.87,104.18
"11",2,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",108.17,108.77
"12",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",109.57,113.07
"13",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",124.3,125.9
"14",1,2,3,1,1,TRUE,"0300_000607_scrubbed.wav",126.89,128.02
"15",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",129.63,131.2
"16",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",132.03,132.72
"17",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",135.95,136.73
"18",2,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",137.53,140.88
"19",1,2,3,1,1,TRUE,"0300_000607_scrubbed.wav",142.89,143.49
"20",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",144.29,144.89
"21",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",145.69,146.29
"22",4,2,4,1,4,FALSE,"0300_000607_scrubbed.wav",167.07,167.67
"23",2,2,3,1,2,FALSE,"0300_000607_scrubbed.wav",168.53,169.39
"24",3,2,3,1,3,FALSE,"0300_000607_scrubbed.wav",171.19,171.79
"25",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",172.59,177.58
"26",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",179.62,180.22
"27",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",192.3,194.91
"28",3,2,3,2,2,FALSE,"0300_000607_scrubbed.wav",251,252
"29",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",259.87,260.61
"30",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",262.98,264.26
"31",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",268.27,268.87
"32",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",270.77,271.55
"33",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",275.59,276.35
"34",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",277.61,278.21
"35",2,2,3,2,2,FALSE,"0300_000607_scrubbed.wav",294.4,295.11
"36",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",296.22,297.31
"37",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",308.01,309.53
"38",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",332.93,333.54
"39",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",338.52,339.15
"40",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",345.59,346.19
"41",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",349.34,351.37
"42",4,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",362.16,362.76
"43",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",366.08,366.71
"44",2,2,3,2,2,FALSE,"0300_000607_scrubbed.wav",368.63,371.08
"45",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",377.49,378.1
"46",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",384.48,385.34
"47",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",386.14,386.86
"48",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",386.86,387.86
"49",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",390.5,391.15
"50",3,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",401.84,402.51
"51",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",409.39,412.86
"52",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",413.66,414.43
"53",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",415.27,416.17
"54",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",421.85,424.54
"55",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",427.3,428.28
"56",4,3,3,2,3,FALSE,"0300_000607_scrubbed.wav",454.77,455.37
"57",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",457.46,460.05
"58",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",461.24,461.84
"59",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",462.64,464.37
"60",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",465.18,466.39
"61",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",467.71,469.36
"62",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",476.41,479.18
"63",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",485.22,485.94
"64",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",488.28,489.91
"65",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",491.05,491.84
"66",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",492.64,493.5
"67",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",497.28,498.36
"68",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",500.08,501.21
"69",3,3,3,2,3,FALSE,"0300_000607_scrubbed.wav",502.01,502.61
"70",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",503.87,504.47
"71",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",505.43,509.53
"72",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",510.72,511.39
"73",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",512.21,515.67
"74",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",516.89,517.74
"75",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",522.97,523.69
"76",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",526.35,528.73
"77",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",530.03,530.79
"78",2,3,3,2,2,FALSE,"0300_000607_scrubbed.wav",531.83,532.43
"79",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",534.19,534.81
"80",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",535.61,536.58
"81",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",539.98,543.75
"82",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",544.7,547.57
"83",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",549.54,550.14
"84",5,5,5,5,5,FALSE,"0300_000607_scrubbed.wav",555.39,556.04
"85",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",561.14,561.74
"86",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",562.54,564.89
"87",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",565.69,566.41
"88",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",568.42,569.02
"89",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",571.75,572.9
"90",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",573.7,576.65
"91",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",578.68,580.36
"92",1,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",581.16,585.07
"93",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",587.35,591.19
"94",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",592.06,592.88
"95",2,1,2,1,1,TRUE,"0300_000607_scrubbed.wav",595.72,597.69
"96",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",598.49,601.88
"97",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",602.68,603.28
"98",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",604.9,606.79
"99",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",608.19,608.95
"100",1,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",610.96,613.66
"101",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",614.66,615.58
"102",3,2,3,2,2,FALSE,"0300_000607_scrubbed.wav",616.39,617
"103",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",623.46,624.06
"104",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",624.86,628.08
"105",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",634.92,635.89
"106",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",636.69,637.58
"107",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",639.42,642.65
"108",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",643.45,646
"109",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",647.34,649.44
"110",2,2,3,2,2,FALSE,"0300_000607_scrubbed.wav",650.24,651.06
"111",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",652.31,654.54
"112",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",655.48,657.69
"113",3,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",658.67,659.27
"114",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",663.71,667.43
"115",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",668.28,670.69
"116",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",673.17,676.63
"117",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",684.45,685.6
"118",2,2,2,1,2,FALSE,"0300_000607_scrubbed.wav",686.4,687.14
"119",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",689.66,691.95
"120",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",695.32,697.68
"121",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",699.09,700.14
"122",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",701.13,706.08
"123",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",706.89,709.28
"124",2,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",714.78,718.05
"125",1,2,2,2,2,FALSE,"0300_000607_scrubbed.wav",718.85,723.67
"126",1,2,2,1,1,TRUE,"0300_000607_scrubbed.wav",725.74,727.05
