"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"46","0274_000221_scrubbed.wav",221.59,222.25,2,2,2,2,3,3,3,2,3,2,2,2,3,3,2,3,2,FALSE
"47","0274_000221_scrubbed.wav",225.55,226.66,2,2,2,5,5,5,5,2,3,3,2,3,5,5,4,3,5,FALSE
"48","0274_000221_scrubbed.wav",234.4,235.03,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,TRUE
"49","0274_000221_scrubbed.wav",287.37,287.97,2,2,2,5,5,5,5,5,4,4,2,5,5,5,5,1,5,FALSE
"50","0274_000221_scrubbed.wav",292.19,293.21,5,3,4,5,5,5,5,5,4,4,5,5,5,5,2,2,5,FALSE
"51","0274_000221_scrubbed.wav",297.82,298.42,2,5,4,5,5,2,5,2,4,2,5,5,5,5,2,3,5,FALSE
"52","0274_000221_scrubbed.wav",405.93,408.14,1,4,3,5,5,5,2,2,5,3,5,2,3,5,1,2,5,FALSE
"53","0274_000221_scrubbed.wav",408.94,409.54,2,3,3,5,2,3,3,2,3,3,5,2,3,2,2,3,3,FALSE
"54","0274_000221_scrubbed.wav",410.34,411.52,2,3,2,5,2,3,3,4,3,3,3,3,3,1,2,3,3,FALSE
"55","0274_000221_scrubbed.wav",417.6,420.44,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,FALSE
"56","0274_000221_scrubbed.wav",432.49,435.54,1,2,2,2,2,3,2,3,2,2,2,2,2,1,2,2,2,FALSE
"57","0274_000221_scrubbed.wav",501.21,502.47,4,5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,5,FALSE
"58","0274_000221_scrubbed.wav",503.27,507.06,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,FALSE
"59","0274_000221_scrubbed.wav",512.52,515.6,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"60","0274_000221_scrubbed.wav",515.6,516.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"61","0274_000221_scrubbed.wav",516.2,518.94,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"62","0274_000221_scrubbed.wav",518.94,520.85,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,FALSE
"63","0274_000221_scrubbed.wav",525.94,526.54,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"64","0274_000221_scrubbed.wav",526.54,527.66,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"65","0274_000221_scrubbed.wav",528.29,547.95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"66","0274_000221_scrubbed.wav",548.55,556.76,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"67","0274_000221_scrubbed.wav",556.76,557.96,4,5,4,5,4,4,4,5,5,5,4,4,5,5,4,5,4,FALSE
"68","0274_000221_scrubbed.wav",562.81,563.42,4,4,4,5,4,4,4,4,4,5,4,4,3,5,4,4,4,FALSE
"69","0274_000221_scrubbed.wav",565.89,566.63,4,4,4,4,4,4,4,4,4,5,4,4,3,5,4,4,4,FALSE
"70","0274_000221_scrubbed.wav",567.99,568.77,4,3,4,4,4,3,3,4,4,5,4,2,3,4,4,4,4,FALSE
"71","0274_000221_scrubbed.wav",568.77,571.87,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,FALSE
"72","0274_000221_scrubbed.wav",571.87,572.67,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,FALSE
"73","0274_000221_scrubbed.wav",572.67,573.89,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,FALSE
"74","0274_000221_scrubbed.wav",573.89,574.51,4,2,4,3,3,3,4,4,4,4,4,3,3,4,4,4,4,FALSE
"75","0274_000221_scrubbed.wav",574.51,575.73,4,2,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,FALSE
"76","0274_000221_scrubbed.wav",575.73,576.68,4,3,3,4,3,3,4,4,4,4,4,3,3,4,4,4,4,FALSE
"77","0274_000221_scrubbed.wav",576.68,578.23,4,3,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,FALSE
"78","0274_000221_scrubbed.wav",578.23,578.83,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,FALSE
"79","0274_000221_scrubbed.wav",582.14,582.75,4,4,4,4,5,3,4,4,4,4,4,3,3,4,4,4,4,FALSE
"80","0274_000221_scrubbed.wav",582.75,583.75,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,FALSE
"81","0274_000221_scrubbed.wav",583.75,584.37,4,3,4,4,3,3,4,4,3,4,4,3,3,4,4,4,4,FALSE
"82","0274_000221_scrubbed.wav",584.37,585.94,4,3,3,4,3,3,4,4,4,4,4,3,3,4,4,4,4,FALSE
"83","0274_000221_scrubbed.wav",585.94,586.54,4,3,3,4,3,3,3,4,3,4,4,3,3,4,4,4,3,FALSE
"84","0274_000221_scrubbed.wav",586.54,587.6,4,4,3,4,3,3,4,4,4,4,4,3,3,4,4,4,4,FALSE
"85","0274_000221_scrubbed.wav",587.6,588.82,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,FALSE
"86","0274_000221_scrubbed.wav",588.82,591.55,4,4,3,4,4,4,4,4,3,3,4,3,3,4,4,4,4,FALSE
"87","0274_000221_scrubbed.wav",591.55,593,4,3,3,4,3,3,3,4,4,3,3,2,3,4,4,4,3,FALSE
"88","0274_000221_scrubbed.wav",593.8,594.47,4,3,3,3,3,3,3,4,3,3,3,2,3,4,4,4,3,FALSE
"89","0274_000221_scrubbed.wav",594.47,596.06,4,4,3,4,4,3,4,4,4,3,3,3,3,4,4,4,4,FALSE
"90","0274_000221_scrubbed.wav",596.06,597.44,4,3,3,4,3,3,3,4,2,3,3,2,3,4,4,3,3,FALSE
"91","0274_000221_scrubbed.wav",597.44,599.23,4,3,3,4,3,3,4,4,2,3,3,3,3,4,4,4,3,FALSE
"92","0274_000221_scrubbed.wav",599.23,602.47,4,3,3,4,3,3,4,3,4,3,3,3,4,4,4,4,3,FALSE
"93","0274_000221_scrubbed.wav",603.27,604.65,3,2,3,3,3,3,3,2,3,3,3,2,2,4,2,2,3,FALSE
"94","0274_000221_scrubbed.wav",605.45,607.13,1,2,2,2,2,2,2,2,2,3,2,1,2,2,1,2,2,FALSE
"95","0274_000221_scrubbed.wav",607.99,609.26,1,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,FALSE
"96","0274_000221_scrubbed.wav",610.06,611.12,2,2,2,2,2,2,3,3,2,3,2,2,2,1,2,2,2,FALSE
"97","0274_000221_scrubbed.wav",612.44,613.25,2,2,2,2,2,2,2,2,3,3,2,2,2,1,2,2,2,FALSE
"98","0274_000221_scrubbed.wav",614.05,614.65,1,2,1,2,2,2,2,2,2,3,2,1,2,1,2,2,2,FALSE
"99","0274_000221_scrubbed.wav",615.7,616.71,5,3,5,5,5,4,5,5,2,4,5,5,5,5,5,5,5,FALSE
"100","0274_000221_scrubbed.wav",727.14,727.75,4,3,5,5,5,1,5,5,3,3,5,5,5,5,2,5,5,FALSE
"101","0274_000221_scrubbed.wav",773.1,773.71,1,3,2,2,2,2,2,2,4,3,2,2,1,1,1,2,2,FALSE
"102","0274_000221_scrubbed.wav",931.18,931.78,2,3,3,3,2,3,3,3,3,3,3,5,4,5,3,3,3,FALSE
"103","0274_000221_scrubbed.wav",1022.71,1023.64,5,5,5,5,5,5,5,5,2,2,5,5,5,1,5,5,5,FALSE
"104","0274_000221_scrubbed.wav",1093.95,1094.65,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"105","0274_000221_scrubbed.wav",1121.57,1122.23,4,5,5,2,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"106","0274_000221_scrubbed.wav",1148.77,1149.51,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"107","0274_000221_scrubbed.wav",1162.01,1162.61,5,2,5,2,3,5,2,2,5,2,5,5,2,5,5,2,5,FALSE
"108","0274_000221_scrubbed.wav",1163.41,1164.12,5,2,2,2,5,5,5,5,3,2,5,5,2,1,5,5,5,FALSE
"109","0274_000221_scrubbed.wav",1165.07,1165.67,5,2,2,2,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
"110","0274_000221_scrubbed.wav",1194.09,1194.77,5,2,2,2,5,5,5,2,5,2,5,5,2,1,5,5,5,FALSE
"111","0274_000221_scrubbed.wav",1200.29,1200.89,2,2,2,5,2,3,2,1,5,3,2,5,1,1,2,5,2,FALSE
"112","0274_000221_scrubbed.wav",1201.7,1202.3,3,3,2,5,5,3,3,5,5,3,3,5,3,4,2,5,3,FALSE
"113","0274_000221_scrubbed.wav",1209.32,1210.16,5,2,1,2,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"114","0274_000221_scrubbed.wav",1211.13,1212.39,5,2,2,2,5,4,4,5,5,3,5,5,5,5,5,5,5,FALSE
"115","0274_000221_scrubbed.wav",1213.97,1214.97,5,5,2,3,5,5,5,2,5,4,5,5,3,5,5,5,5,FALSE
