"","jvfs_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"197",2,2,2,2,FALSE
"198",2,2,1,2,FALSE
"199",2,3,2,2,FALSE
"200",2,2,2,2,FALSE
"201",2,2,2,2,FALSE
"202",4,4,2,4,FALSE
"203",2,2,2,2,FALSE
"204",2,2,2,2,FALSE
"205",1,2,1,1,TRUE
"206",3,4,3,3,FALSE
"207",2,2,1,2,FALSE
"208",2,2,2,2,FALSE
"209",5,5,5,5,FALSE
"210",3,3,2,3,FALSE
"211",2,2,2,2,FALSE
"212",2,2,1,2,FALSE
"213",2,2,1,2,FALSE
"214",2,2,1,2,FALSE
"215",2,2,1,2,FALSE
"216",3,3,1,3,FALSE
"217",2,2,1,2,FALSE
"218",1,2,1,1,TRUE
"219",2,2,2,2,FALSE
"220",2,2,1,2,FALSE
"221",2,2,1,2,FALSE
"222",2,2,2,2,FALSE
"223",2,2,1,2,FALSE
"224",2,2,2,2,FALSE
"225",2,2,2,2,FALSE
"226",2,3,2,2,FALSE
"227",2,2,2,2,FALSE
"228",2,2,2,2,FALSE
"229",3,2,1,1,TRUE
"230",5,5,5,5,FALSE
"231",3,2,2,2,FALSE
"232",2,2,2,2,FALSE
"233",2,2,1,2,FALSE
"234",2,3,2,2,FALSE
"235",2,2,2,2,FALSE
"236",2,2,1,2,FALSE
"237",2,2,1,2,FALSE
"238",1,2,1,1,TRUE
"239",1,2,1,1,TRUE
"240",1,2,1,1,TRUE
"241",1,2,1,1,TRUE
"242",2,2,1,2,FALSE
"243",2,2,1,2,FALSE
"244",2,2,1,2,FALSE
"245",2,2,1,2,FALSE
"246",5,4,5,5,FALSE
"247",3,3,2,3,FALSE
"248",3,2,1,1,TRUE
"249",2,2,2,2,FALSE
"250",2,3,2,2,FALSE
"251",2,2,2,2,FALSE
"252",2,2,2,2,FALSE
"253",3,4,3,3,FALSE
"254",5,5,5,5,FALSE
"255",2,3,2,2,FALSE
"256",2,3,2,2,FALSE
"257",1,2,1,1,TRUE
"258",1,2,1,1,TRUE
"259",2,2,1,2,FALSE
"260",3,3,2,3,FALSE
"261",1,2,1,1,TRUE
"262",2,2,1,2,FALSE
"263",2,2,1,2,FALSE
"264",3,3,2,3,FALSE
"265",2,3,2,2,FALSE
"266",2,2,2,2,FALSE
"267",2,2,2,2,FALSE
"268",2,2,2,2,FALSE
"269",2,3,2,2,FALSE
"270",2,2,2,2,FALSE
"271",2,2,2,2,FALSE
"272",2,2,2,2,FALSE
"273",3,3,2,3,FALSE
"274",2,2,2,2,FALSE
"275",2,2,1,2,FALSE
"276",2,2,2,2,FALSE
"277",2,2,2,2,FALSE
"278",2,2,2,2,FALSE
"279",2,2,2,2,FALSE
"280",2,2,2,2,FALSE
"281",2,2,2,2,FALSE
"282",2,2,2,2,FALSE
"283",2,2,2,2,FALSE
"284",3,3,2,3,FALSE
"285",3,3,2,3,FALSE
"286",2,2,1,2,FALSE
"287",2,2,2,2,FALSE
"288",2,2,2,2,FALSE
"289",2,3,2,2,FALSE
"290",5,5,5,5,FALSE
"291",5,5,5,5,FALSE
"292",3,2,2,2,FALSE
"293",2,3,2,2,FALSE
"294",2,2,1,2,FALSE
"295",2,2,2,2,FALSE
"296",2,2,2,2,FALSE
"297",2,2,2,2,FALSE
"298",2,2,2,2,FALSE
"299",2,2,2,2,FALSE
"300",2,3,2,2,FALSE
"301",3,4,2,2,FALSE
"302",3,3,3,3,FALSE
"303",2,2,2,2,FALSE
"304",2,2,2,2,FALSE
"305",4,4,5,4,FALSE
"306",3,2,1,1,TRUE
"307",2,2,1,2,FALSE
"308",2,2,2,2,FALSE
"309",2,2,2,2,FALSE
"310",2,2,2,2,FALSE
"311",2,3,2,2,FALSE
"312",2,2,2,2,FALSE
"313",2,2,2,2,FALSE
"314",2,2,2,2,FALSE
"315",3,3,2,3,FALSE
"316",2,2,2,2,FALSE
