"","jvfs_2_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"1",1,1,1,1,1,TRUE,"0857_000301_scrubbed.wav",55.03,56.05
"2",1,1,1,1,1,TRUE,"0857_000301_scrubbed.wav",61.32,61.93
"3",1,1,2,1,1,TRUE,"0857_000301_scrubbed.wav",62.73,63.33
"4",1,1,2,1,1,TRUE,"0857_000301_scrubbed.wav",66.31,66.92
"5",1,1,1,1,1,TRUE,"0857_000301_scrubbed.wav",68.02,72.32
"6",2,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",73.26,81.1
"7",1,1,2,1,1,TRUE,"0857_000301_scrubbed.wav",81.1,82.11
"8",1,2,2,1,1,TRUE,"0857_000301_scrubbed.wav",82.11,87.77
"9",1,1,1,1,1,TRUE,"0857_000301_scrubbed.wav",89,90.3
"10",2,2,3,2,2,FALSE,"0857_000301_scrubbed.wav",91.32,92.19
"11",1,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",92.99,93.67
"12",2,2,4,2,2,FALSE,"0857_000301_scrubbed.wav",98.88,103.48
"13",2,1,2,2,2,FALSE,"0857_000301_scrubbed.wav",104.35,106.56
"14",1,1,2,1,1,TRUE,"0857_000301_scrubbed.wav",107.36,109.23
"15",2,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",109.23,110.23
"16",2,3,3,2,2,FALSE,"0857_000301_scrubbed.wav",110.23,112
"17",1,1,2,1,1,TRUE,"0857_000301_scrubbed.wav",113.08,134.12
"18",1,1,1,1,1,TRUE,"0857_000301_scrubbed.wav",136.36,149.37
"19",1,1,1,1,1,TRUE,"0857_000301_scrubbed.wav",150.17,165.97
"20",2,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",167.2,167.95
"21",2,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",168.75,179.72
"22",2,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",181.25,184
"23",2,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",191.12,192.83
"24",2,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",199.83,201.1
"25",1,2,2,1,1,TRUE,"0857_000301_scrubbed.wav",203.54,204.14
"26",3,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",206.69,207.47
"27",2,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",208.8,209.59
"28",2,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",210.49,211.09
"29",2,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",220.16,221.9
"30",3,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",224.96,225.98
"31",2,1,2,1,1,TRUE,"0857_000301_scrubbed.wav",229.03,230.48
"32",2,2,2,1,2,FALSE,"0857_000301_scrubbed.wav",233.93,234.55
"33",3,3,3,3,3,FALSE,"0857_000301_scrubbed.wav",235.35,236.53
"34",2,3,2,2,2,FALSE,"0857_000301_scrubbed.wav",236.53,237.24
"35",1,1,1,1,1,TRUE,"0857_000301_scrubbed.wav",300.32,301.66
"36",2,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",303.01,303.94
"37",1,2,2,2,2,FALSE,"0857_000301_scrubbed.wav",328.72,329.5
"38",1,2,2,1,1,TRUE,"0857_000301_scrubbed.wav",329.5,330.31
