"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"1",1,1,1,1,1,TRUE
"2",1,1,1,1,1,TRUE
"3",5,5,5,5,5,FALSE
"4",2,2,2,2,2,FALSE
"5",1,1,1,1,1,TRUE
"6",1,1,2,1,1,TRUE
"7",1,1,1,1,1,TRUE
"8",1,1,1,1,1,TRUE
"9",1,1,2,1,1,TRUE
"10",2,2,2,2,2,FALSE
"11",1,1,2,1,1,TRUE
"12",1,1,1,1,1,TRUE
"13",1,1,1,1,1,TRUE
"14",5,5,5,5,5,FALSE
"15",1,1,1,1,1,TRUE
"16",1,1,1,1,1,TRUE
"17",2,1,1,1,1,TRUE
"18",5,5,5,2,5,FALSE
"19",1,1,1,1,1,TRUE
"20",1,1,1,1,1,TRUE
"21",1,1,1,1,1,TRUE
"22",2,2,2,2,2,FALSE
"23",2,1,1,1,1,TRUE
"24",2,3,2,2,2,FALSE
"25",4,2,3,2,2,FALSE
"26",2,3,3,2,2,FALSE
"27",3,2,3,2,2,FALSE
"28",1,1,1,1,1,TRUE
"29",5,5,5,5,5,FALSE
"30",5,5,5,5,5,FALSE
"31",3,3,2,5,3,FALSE
"32",1,1,1,1,1,TRUE
"33",1,1,1,1,1,TRUE
"34",2,2,2,2,2,FALSE
"35",2,2,2,1,2,FALSE
"36",1,1,1,1,1,TRUE
"37",1,1,1,1,1,TRUE
"38",1,1,2,1,1,TRUE
"39",2,2,2,2,2,FALSE
"40",1,1,4,1,1,TRUE
"41",1,1,2,1,1,TRUE
"42",1,1,2,1,1,TRUE
"43",2,3,2,2,2,FALSE
"44",5,5,4,4,4,FALSE
"45",5,5,5,5,5,FALSE
"46",5,5,5,5,5,FALSE
"47",5,5,5,5,5,FALSE
"48",5,5,5,5,5,FALSE
"49",5,5,5,5,5,FALSE
"50",4,5,4,4,4,FALSE
"51",5,5,5,5,5,FALSE
"52",5,5,4,5,5,FALSE
"53",5,5,5,5,5,FALSE
"54",5,5,5,5,5,FALSE
"55",5,5,5,5,5,FALSE
"56",3,3,2,2,2,FALSE
"57",2,2,2,1,2,FALSE
"58",2,3,3,2,2,FALSE
"59",5,3,4,4,4,FALSE
