"","jvfs_2_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"1",5,5,5,5,FALSE,"0344_000913.wav",42.32,42.92
"2",1,2,1,1,TRUE,"0344_000913.wav",46.36,47.02
"3",1,3,2,1,TRUE,"0344_000913.wav",2161.67,2162.48
"4",2,3,2,2,FALSE,"0344_000913.wav",7309.84,7310.49
"5",1,2,1,1,TRUE,"0344_000913.wav",7320.24,7320.89
"6",2,2,1,2,FALSE,"0344_000913.wav",7353.09,7354.05
"7",1,1,1,1,TRUE,"0344_000913.wav",7376.07,7378.26
"8",2,2,1,2,FALSE,"0344_000913.wav",7423.08,7423.68
"9",1,1,1,1,TRUE,"0344_000913.wav",7453.78,7454.47
"10",2,3,2,2,FALSE,"0344_000913.wav",7565.91,7566.52
"11",5,5,5,5,FALSE,"0344_000913.wav",7712.34,7712.94
"12",1,2,1,1,TRUE,"0344_000913.wav",7722.25,7724.42
"13",1,4,1,1,TRUE,"0344_000913.wav",8221.01,8221.79
"14",1,2,1,1,TRUE,"0344_000913.wav",8268.67,8272.25
"15",1,1,1,1,TRUE,"0344_000913.wav",8273.13,8275.63
"16",2,2,1,2,FALSE,"0344_000913.wav",8303.57,8304.65
"17",3,4,3,3,FALSE,"0344_000913.wav",8306.89,8307.49
"18",1,2,1,1,TRUE,"0344_000913.wav",8315.98,8316.84
"19",2,2,2,2,FALSE,"0344_000913.wav",8320.08,8320.68
"20",5,5,5,5,FALSE,"0344_000913.wav",8341.09,8341.69
"21",2,3,2,2,FALSE,"0344_000913.wav",8388.52,8389.13
"22",2,3,2,2,FALSE,"0344_000913.wav",8392.2,8392.8
"23",3,5,2,2,FALSE,"0344_000913.wav",8401.04,8401.64
"24",3,3,2,3,FALSE,"0344_000913.wav",8402.96,8403.56
"25",5,5,5,5,FALSE,"0344_000913.wav",8425.68,8427.05
"26",5,5,5,5,FALSE,"0344_000913.wav",8428.61,8429.38
"27",4,4,4,4,FALSE,"0344_000913.wav",8492.33,8493.46
"28",1,2,1,1,TRUE,"0344_000913.wav",8616.27,8616.88
"29",2,3,2,2,FALSE,"0344_000913.wav",8632.78,8633.73
"30",2,3,2,2,FALSE,"0344_000913.wav",8646.87,8647.47
"31",2,2,2,2,FALSE,"0344_000913.wav",8651.17,8652.97
"32",2,2,2,2,FALSE,"0344_000913.wav",8654.85,8656.64
"33",5,5,5,5,FALSE,"0344_000913.wav",8713.61,8714.34
"34",4,4,3,4,FALSE,"0344_000913.wav",8714.34,8715.35
"35",2,2,1,2,FALSE,"0344_000913.wav",8715.35,8717.11
"36",5,5,5,5,FALSE,"0344_000913.wav",8803.54,8806.65
"37",5,5,5,5,FALSE,"0344_000913.wav",8826.34,8828.2
"38",4,4,3,4,FALSE,"0344_000913.wav",8947.49,8948.37
"39",2,2,2,2,FALSE,"0344_000913.wav",9446.7,9447.82
"40",1,1,1,1,TRUE,"0344_000913.wav",9454.07,9457.79
"41",1,2,1,1,TRUE,"0344_000913.wav",9488.56,9489.16
"42",2,2,1,2,FALSE,"0344_000913.wav",9501.21,9502.08
"43",2,2,2,2,FALSE,"0344_000913.wav",9516.18,9517.89
"44",1,2,1,1,TRUE,"0344_000913.wav",9519.71,9522.22
"45",2,3,2,2,FALSE,"0344_000913.wav",9543.85,9544.52
"46",2,3,2,2,FALSE,"0344_000913.wav",9573.88,9574.48
"47",3,3,2,3,FALSE,"0344_000913.wav",9611.46,9612.19
"48",3,3,2,3,FALSE,"0344_000913.wav",9623.58,9624.4
"49",1,2,1,1,TRUE,"0344_000913.wav",9626.05,9626.65
"50",1,2,1,1,TRUE,"0344_000913.wav",9642.76,9643.8
"51",2,2,2,2,FALSE,"0344_000913.wav",9648.04,9649.75
"52",1,2,1,1,TRUE,"0344_000913.wav",9653.39,9654.48
"53",2,2,2,2,FALSE,"0344_000913.wav",9657.7,9658.88
"54",2,2,2,2,FALSE,"0344_000913.wav",9663.28,9664.07
"55",3,2,2,2,FALSE,"0344_000913.wav",9664.87,9668.14
"56",2,2,1,2,FALSE,"0344_000913.wav",9669.27,9669.87
"57",2,2,2,2,FALSE,"0344_000913.wav",9671.55,9672.66
"58",2,2,2,2,FALSE,"0344_000913.wav",9674.46,9675.18
"59",4,3,3,3,FALSE,"0344_000913.wav",9677.57,9678.69
"60",1,2,1,1,TRUE,"0344_000913.wav",9685.14,9685.75
