"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"44","0204_000609_scrubbed.wav",857,859.2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,TRUE
"45","0204_000609_scrubbed.wav",860.12,861.71,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE
"46","0204_000609_scrubbed.wav",862.67,865.15,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,FALSE
"47","0204_000609_scrubbed.wav",888.26,888.93,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"48","0204_000609_scrubbed.wav",904.51,905.19,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,FALSE
"49","0204_000609_scrubbed.wav",908.38,910.66,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,TRUE
"50","0204_000609_scrubbed.wav",914.72,915.72,2,2,3,4,3,3,3,3,3,3,3,4,2,3,4,4,4,3,FALSE
"51","0204_000609_scrubbed.wav",916.52,922.97,1,2,2,3,1,1,2,1,2,2,3,2,2,1,1,1,1,1,TRUE
"52","0204_000609_scrubbed.wav",923.77,925.41,1,2,1,3,1,2,2,2,2,2,3,2,2,1,2,1,1,2,FALSE
"53","0204_000609_scrubbed.wav",926.21,927.82,1,2,2,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,TRUE
"54","0204_000609_scrubbed.wav",928.62,930.44,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"55","0204_000609_scrubbed.wav",931.55,933.58,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"56","0204_000609_scrubbed.wav",934.79,938.3,2,2,2,3,1,2,2,2,2,1,2,3,2,2,2,1,2,2,FALSE
"57","0204_000609_scrubbed.wav",943.97,947.4,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,FALSE
"58","0204_000609_scrubbed.wav",969.2,972.03,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,FALSE
"59","0204_000609_scrubbed.wav",974.18,976.78,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,FALSE
"60","0204_000609_scrubbed.wav",982.9,985.52,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"61","0204_000609_scrubbed.wav",986.81,987.57,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,FALSE
"62","0204_000609_scrubbed.wav",991.39,995.39,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,FALSE
"63","0204_000609_scrubbed.wav",1000.22,1001.59,2,2,2,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,FALSE
"64","0204_000609_scrubbed.wav",1009.26,1009.88,1,2,2,4,3,4,3,4,2,3,3,2,2,2,2,4,2,2,FALSE
"65","0204_000609_scrubbed.wav",1016.21,1016.84,1,2,2,3,1,1,2,2,2,1,2,2,2,1,2,1,1,1,TRUE
"66","0204_000609_scrubbed.wav",1018.83,1019.8,1,2,3,3,4,3,3,4,5,2,3,3,2,2,2,2,2,2,FALSE
"67","0204_000609_scrubbed.wav",1020.72,1021.32,2,3,3,4,5,2,3,3,5,2,3,3,2,2,2,1,2,2,FALSE
"68","0204_000609_scrubbed.wav",1022.26,1022.86,1,3,2,3,3,3,2,2,5,2,3,3,2,2,2,2,2,2,FALSE
"69","0204_000609_scrubbed.wav",1079.67,1080.44,1,2,1,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"70","0204_000609_scrubbed.wav",1088.33,1090.88,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"71","0204_000609_scrubbed.wav",1093.75,1094.9,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,TRUE
"72","0204_000609_scrubbed.wav",1104.36,1107.47,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"73","0204_000609_scrubbed.wav",1108.27,1110.38,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"74","0204_000609_scrubbed.wav",1111.4,1112.24,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"75","0204_000609_scrubbed.wav",1118.54,1119.14,1,2,1,4,2,3,3,3,2,2,2,2,2,2,3,2,2,2,FALSE
"76","0204_000609_scrubbed.wav",1120.51,1125.23,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,FALSE
"77","0204_000609_scrubbed.wav",1125.23,1126.32,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"78","0204_000609_scrubbed.wav",1126.32,1131.9,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"79","0204_000609_scrubbed.wav",1136.37,1137,1,3,2,4,3,3,3,3,2,2,4,3,2,2,3,2,3,3,FALSE
"80","0204_000609_scrubbed.wav",1137.8,1138.4,1,2,2,3,2,2,2,2,2,2,3,2,2,1,1,2,2,2,FALSE
"81","0204_000609_scrubbed.wav",1139.36,1139.97,2,2,2,3,2,3,2,3,2,2,3,3,2,2,2,2,2,2,FALSE
"82","0204_000609_scrubbed.wav",1140.97,1141.57,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"83","0204_000609_scrubbed.wav",1142.38,1143.69,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,FALSE
"84","0204_000609_scrubbed.wav",1144.99,1146.33,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,FALSE
"85","0204_000609_scrubbed.wav",1146.33,1151.83,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,TRUE
"86","0204_000609_scrubbed.wav",1153.19,1155.63,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,FALSE
"87","0204_000609_scrubbed.wav",1158.02,1159.15,1,2,1,3,2,2,2,2,2,2,1,2,2,1,2,1,2,2,FALSE
"88","0204_000609_scrubbed.wav",1160.36,1166.79,1,2,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,FALSE
"89","0204_000609_scrubbed.wav",1168.1,1169.85,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,FALSE
"90","0204_000609_scrubbed.wav",1174.83,1177.81,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,FALSE
"91","0204_000609_scrubbed.wav",1178.66,1179.26,1,2,2,3,3,2,3,3,2,2,2,2,2,2,2,1,2,2,FALSE
"92","0204_000609_scrubbed.wav",1182.58,1183.18,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE
"93","0204_000609_scrubbed.wav",1186.33,1186.93,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE
"94","0204_000609_scrubbed.wav",1189.6,1191.11,2,2,2,3,2,2,3,3,2,2,1,3,2,2,2,2,2,2,FALSE
"95","0204_000609_scrubbed.wav",1191.91,1192.51,1,2,2,3,2,2,2,2,2,2,1,3,2,2,2,2,2,2,FALSE
"96","0204_000609_scrubbed.wav",1193.33,1194.96,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"97","0204_000609_scrubbed.wav",1199.48,1202.68,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,FALSE
"98","0204_000609_scrubbed.wav",1203.48,1208.29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
