"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_1_targetChildProminence","ukqu_1_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"41","0054_000603_scrubbed.wav",1452.38,1453.62,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,2,FALSE
"42","0054_000603_scrubbed.wav",1464.86,1466.18,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,FALSE
"43","0054_000603_scrubbed.wav",1466.98,1467.84,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"44","0054_000603_scrubbed.wav",1468.68,1470.22,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,FALSE
"45","0054_000603_scrubbed.wav",1471.13,1473.31,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"46","0054_000603_scrubbed.wav",1477.29,1479.04,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,FALSE
"47","0054_000603_scrubbed.wav",1480,1481.47,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,FALSE
"48","0054_000603_scrubbed.wav",1482.87,1485.51,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"49","0054_000603_scrubbed.wav",1494.95,1495.98,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"50","0054_000603_scrubbed.wav",1497.74,1498.35,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,FALSE
"51","0054_000603_scrubbed.wav",1517.18,1517.78,1,3,2,1,2,3,2,2,2,1,3,4,2,2,1,1,1,1,2,1,TRUE
"52","0054_000603_scrubbed.wav",1518.8,1519.67,1,2,1,2,2,2,2,2,5,1,2,2,2,2,2,2,1,2,2,2,FALSE
"53","0054_000603_scrubbed.wav",1523.73,1524.64,1,2,2,3,1,2,2,2,5,2,2,2,2,1,1,2,1,1,2,2,FALSE
"54","0054_000603_scrubbed.wav",1536.51,1538.26,1,2,1,2,2,2,2,2,5,2,2,2,2,2,2,2,1,2,2,2,FALSE
"55","0054_000603_scrubbed.wav",1567.97,1569.98,1,2,1,3,3,2,2,2,5,2,3,2,2,2,2,2,1,2,2,2,FALSE
"56","0054_000603_scrubbed.wav",1572.59,1573.56,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,FALSE
