"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"1",1,2,2,1,1,TRUE
"2",1,1,2,1,1,TRUE
"3",1,2,2,1,1,TRUE
"4",1,1,2,1,1,TRUE
"5",1,1,2,1,1,TRUE
"6",1,1,2,1,1,TRUE
"7",2,3,2,2,2,FALSE
"8",1,1,2,1,1,TRUE
"9",1,1,2,1,1,TRUE
"10",2,2,2,1,2,FALSE
"11",4,3,3,2,3,FALSE
"12",2,2,2,2,2,FALSE
"13",3,3,3,2,3,FALSE
"14",2,2,2,1,2,FALSE
"15",2,2,2,2,2,FALSE
"16",2,2,2,2,2,FALSE
"17",2,2,2,2,2,FALSE
"18",2,3,3,2,2,FALSE
"19",3,2,2,2,2,FALSE
"20",1,1,2,1,1,TRUE
"21",2,1,2,1,1,TRUE
"22",1,1,1,1,1,TRUE
"23",2,2,2,1,2,FALSE
"24",3,2,2,1,2,FALSE
"25",2,2,2,2,2,FALSE
"26",1,2,2,1,1,TRUE
"27",2,1,2,1,1,TRUE
"28",2,1,2,1,1,TRUE
"29",2,2,2,2,2,FALSE
"30",1,1,2,1,1,TRUE
"31",1,2,2,1,1,TRUE
"32",2,2,2,1,2,FALSE
"33",1,1,2,1,1,TRUE
"34",3,3,2,2,2,FALSE
"35",2,2,2,1,2,FALSE
"36",1,1,2,1,1,TRUE
"37",1,1,1,1,1,TRUE
"38",3,3,2,2,2,FALSE
"39",1,1,2,1,1,TRUE
"40",3,2,2,2,2,FALSE
"41",2,3,3,2,2,FALSE
"42",2,2,2,1,2,FALSE
"43",3,3,3,2,3,FALSE
"44",2,1,2,1,1,TRUE
"45",3,2,2,2,2,FALSE
"46",1,1,2,1,1,TRUE
"47",1,2,2,1,1,TRUE
"48",2,2,2,1,2,FALSE
"49",2,1,2,1,1,TRUE
"50",2,2,2,2,2,FALSE
"51",1,1,1,1,1,TRUE
"52",1,1,2,1,1,TRUE
"53",2,3,2,1,2,FALSE
"54",1,1,1,1,1,TRUE
"55",4,3,3,2,3,FALSE
"56",1,2,2,1,1,TRUE
"57",3,3,3,2,3,FALSE
"58",1,2,2,1,1,TRUE
"59",2,2,2,1,2,FALSE
"60",2,3,3,2,2,FALSE
"61",3,2,3,2,2,FALSE
"62",1,2,2,1,1,TRUE
"63",1,1,1,1,1,TRUE
"64",1,1,2,1,1,TRUE
"65",1,1,1,1,1,TRUE
"66",1,1,2,1,1,TRUE
"67",3,2,2,2,2,FALSE
"68",1,1,1,1,1,TRUE
"69",3,2,2,1,2,FALSE
"70",3,3,3,2,3,FALSE
"71",1,1,2,1,1,TRUE
"72",1,1,2,1,1,TRUE
"73",1,1,2,1,1,TRUE
"74",1,2,2,1,1,TRUE
"75",1,1,2,1,1,TRUE
"76",1,2,2,1,1,TRUE
"77",2,2,2,1,2,FALSE
"78",2,3,2,1,2,FALSE
"79",2,2,2,1,2,FALSE
"80",2,2,2,2,2,FALSE
"81",2,1,2,1,1,TRUE
"82",1,1,5,5,1,TRUE
"83",2,1,2,1,1,TRUE
"84",1,1,2,1,1,TRUE
"85",1,2,2,1,1,TRUE
"86",2,2,2,1,2,FALSE
"87",2,3,2,2,2,FALSE
"88",1,1,2,1,1,TRUE
"89",2,3,2,2,2,FALSE
"90",1,1,2,1,1,TRUE
"91",2,2,2,1,2,FALSE
"92",2,2,2,1,2,FALSE
"93",2,1,2,1,1,TRUE
"94",1,1,2,1,1,TRUE
"95",2,2,2,1,2,FALSE
"96",2,2,2,2,2,FALSE
"97",3,3,3,3,3,FALSE
"98",2,2,2,1,2,FALSE
"99",1,1,2,1,1,TRUE
"100",1,1,1,1,1,TRUE
"101",3,2,2,2,2,FALSE
"102",3,3,3,2,3,FALSE
"103",4,3,2,2,2,FALSE
"104",2,3,3,2,2,FALSE
"105",2,3,3,3,3,FALSE
"106",2,2,2,1,2,FALSE
"107",2,2,2,2,2,FALSE
"108",3,2,2,2,2,FALSE
"109",3,2,2,2,2,FALSE
"110",2,2,2,2,2,FALSE
"111",3,3,3,2,3,FALSE
"112",1,1,1,1,1,TRUE
"113",2,1,2,1,1,TRUE
"114",1,1,1,1,1,TRUE
"115",1,1,1,1,1,TRUE
"116",1,2,2,1,1,TRUE
"117",4,3,4,5,4,FALSE
"118",1,1,2,1,1,TRUE
"119",1,1,2,1,1,TRUE
"120",2,2,2,2,2,FALSE
"121",2,3,2,2,2,FALSE
"122",2,2,2,2,2,FALSE
"123",3,2,3,2,2,FALSE
"124",2,1,2,2,2,FALSE
"125",3,3,3,3,3,FALSE
"126",2,2,2,2,2,FALSE
"127",5,5,5,5,5,FALSE
"128",2,3,2,2,2,FALSE
"129",2,3,2,2,2,FALSE
"130",3,2,2,2,2,FALSE
"131",2,2,2,2,2,FALSE
"132",2,2,2,2,2,FALSE
"133",2,3,3,2,2,FALSE
"134",2,2,2,2,2,FALSE
"135",2,2,2,1,2,FALSE
"136",1,2,2,1,1,TRUE
"137",1,1,2,1,1,TRUE
"138",1,1,2,1,1,TRUE
"139",2,2,2,1,2,FALSE
"140",1,1,1,1,1,TRUE
"141",2,2,2,1,2,FALSE
"142",2,1,2,1,1,TRUE
"143",1,1,2,1,1,TRUE
"144",2,2,2,1,2,FALSE
"145",2,3,2,2,2,FALSE
"146",2,3,2,2,2,FALSE
"147",2,2,2,2,2,FALSE
"148",4,2,5,2,2,FALSE
"149",2,3,4,4,4,FALSE
"150",2,2,2,2,2,FALSE
"151",3,3,4,4,3,FALSE
"152",2,1,2,1,1,TRUE
"153",2,1,2,1,1,TRUE
"154",3,3,2,1,3,FALSE
"155",2,2,2,1,2,FALSE
"156",1,1,2,1,1,TRUE
"157",2,1,2,1,1,TRUE
"158",2,2,2,1,2,FALSE
"159",2,2,2,1,2,FALSE
"160",4,5,5,5,5,FALSE
"161",2,2,2,2,2,FALSE
"162",2,1,2,1,1,TRUE
"163",5,5,5,5,5,FALSE
"164",4,3,5,5,5,FALSE
"165",2,2,2,1,2,FALSE
"166",2,3,3,2,2,FALSE
"167",2,2,2,2,2,FALSE
"168",3,2,2,1,2,FALSE
"169",4,3,3,2,3,FALSE
"170",2,2,2,1,2,FALSE
"171",2,2,2,1,2,FALSE
"172",2,3,2,2,2,FALSE
"173",1,2,2,1,1,TRUE
"174",3,2,3,2,2,FALSE
"175",2,1,2,1,1,TRUE
"176",2,2,2,1,2,FALSE
"177",2,3,3,2,2,FALSE
"178",1,2,2,1,1,TRUE
"179",1,1,2,1,1,TRUE
"180",4,3,4,2,4,FALSE
"181",2,2,2,2,2,FALSE
"182",3,3,3,2,3,FALSE
"183",1,2,2,1,1,TRUE
"184",1,1,2,1,1,TRUE
"185",2,1,2,1,1,TRUE
"186",3,2,2,2,2,FALSE
"187",2,3,3,2,2,FALSE
"188",2,3,2,2,2,FALSE
"189",2,2,2,1,2,FALSE
"190",2,2,2,2,2,FALSE
