"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"175",5,5,5,5,5,FALSE
"176",5,5,5,5,5,FALSE
"177",2,3,2,2,2,FALSE
"178",4,5,3,3,3,FALSE
"179",2,3,2,2,2,FALSE
"180",5,5,5,5,5,FALSE
"181",2,2,2,2,2,FALSE
"182",5,5,5,1,5,FALSE
"183",5,3,3,1,3,FALSE
"184",2,5,3,1,1,TRUE
"185",3,3,2,2,2,FALSE
"186",3,3,3,2,3,FALSE
"187",3,3,3,2,3,FALSE
"188",3,3,3,2,3,FALSE
"189",5,5,5,5,5,FALSE
"190",3,4,4,5,4,FALSE
"191",2,3,2,2,2,FALSE
"192",4,3,3,2,3,FALSE
"193",2,2,2,2,2,FALSE
"194",2,1,2,1,1,TRUE
"195",2,2,2,2,2,FALSE
"196",1,1,1,1,1,TRUE
"197",1,1,1,1,1,TRUE
"198",1,1,3,1,1,TRUE
"199",4,1,3,1,1,TRUE
"200",1,1,2,1,1,TRUE
"201",1,1,2,1,1,TRUE
"202",1,1,1,1,1,TRUE
"203",1,1,2,1,1,TRUE
"204",1,1,2,1,1,TRUE
"205",1,1,2,1,1,TRUE
"206",1,1,2,1,1,TRUE
"207",3,2,3,2,2,FALSE
"208",5,1,5,5,5,FALSE
"209",5,1,5,5,5,FALSE
"210",5,2,3,5,5,FALSE
"211",5,1,2,5,5,FALSE
"212",5,2,4,5,5,FALSE
"213",5,5,5,5,5,FALSE
"214",5,5,5,5,5,FALSE
"215",1,1,2,1,1,TRUE
"216",3,3,3,2,3,FALSE
"217",5,5,5,5,5,FALSE
"218",5,5,5,5,5,FALSE
"219",5,5,5,5,5,FALSE
"220",5,5,5,5,5,FALSE
"221",5,5,5,5,5,FALSE
"222",5,1,2,5,5,FALSE
"223",3,3,4,4,3,FALSE
"224",3,2,3,2,2,FALSE
"225",2,2,2,2,2,FALSE
"226",5,2,5,5,5,FALSE
"227",5,2,5,5,5,FALSE
"228",5,5,5,5,5,FALSE
"229",5,5,5,5,5,FALSE
"230",5,2,2,5,2,FALSE
"231",5,5,5,5,5,FALSE
"232",5,3,5,5,5,FALSE
"233",5,2,2,2,2,FALSE
"234",3,2,2,2,2,FALSE
"235",2,1,2,1,1,TRUE
"236",3,2,2,2,2,FALSE
"237",1,1,2,1,1,TRUE
"238",2,2,3,2,2,FALSE
"239",3,2,2,2,2,FALSE
"240",2,1,1,1,1,TRUE
"241",2,1,2,2,2,FALSE
"242",2,2,2,2,2,FALSE
"243",1,2,2,1,1,TRUE
"244",2,1,2,1,1,TRUE
"245",2,1,2,1,1,TRUE
"246",1,1,1,1,1,TRUE
"247",1,1,2,1,1,TRUE
"248",1,2,2,1,1,TRUE
"249",2,2,3,1,2,FALSE
"250",2,2,2,1,2,FALSE
"251",2,1,2,1,1,TRUE
"252",1,1,2,1,1,TRUE
"253",1,2,2,1,1,TRUE
"254",2,1,2,5,2,FALSE
"255",1,1,2,1,1,TRUE
"256",1,1,2,1,1,TRUE
"257",1,1,2,1,1,TRUE
"258",1,1,1,1,1,TRUE
"259",1,2,2,1,1,TRUE
"260",1,1,2,1,1,TRUE
"261",1,2,2,1,1,TRUE
"262",2,2,2,1,2,FALSE
"263",1,1,2,1,1,TRUE
"264",1,2,2,1,1,TRUE
"265",1,1,2,1,1,TRUE
"266",1,1,1,1,1,TRUE
"267",1,1,1,1,1,TRUE
"268",1,1,1,1,1,TRUE
"269",1,1,1,1,1,TRUE
"270",2,1,2,1,1,TRUE
"271",1,1,2,1,1,TRUE
"272",2,2,2,1,2,FALSE
"273",2,1,2,1,1,TRUE
"274",4,2,4,2,2,FALSE
"275",1,2,2,1,1,TRUE
"276",1,2,2,1,1,TRUE
"277",1,1,2,1,1,TRUE
"278",1,1,2,1,1,TRUE
"279",1,1,2,1,1,TRUE
"280",2,2,2,1,2,FALSE
"281",1,1,4,1,1,TRUE
"282",1,1,2,1,1,TRUE
"283",1,2,2,1,1,TRUE
"284",3,1,2,1,1,TRUE
"285",1,1,2,1,1,TRUE
"286",1,1,2,1,1,TRUE
"287",2,1,2,1,1,TRUE
"288",2,1,2,1,1,TRUE
"289",1,1,2,1,1,TRUE
"290",1,1,2,1,1,TRUE
"291",2,2,2,1,2,FALSE
"292",1,2,2,1,1,TRUE
"293",2,1,2,2,2,FALSE
"294",1,2,2,1,1,TRUE
"295",1,2,2,1,1,TRUE
"296",2,2,2,2,2,FALSE
"297",3,2,2,1,2,FALSE
"298",1,2,2,1,1,TRUE
"299",2,2,2,2,2,FALSE
"300",2,2,2,1,2,FALSE
"301",3,2,3,1,3,FALSE
"302",2,2,2,1,2,FALSE
"303",2,2,2,1,2,FALSE
"304",4,3,3,2,3,FALSE
"305",3,2,2,2,2,FALSE
"306",2,1,3,1,1,TRUE
"307",2,2,2,2,2,FALSE
"308",2,2,2,2,2,FALSE
"309",1,1,2,1,1,TRUE
"310",2,1,1,1,1,TRUE
"311",1,1,2,1,1,TRUE
"312",1,1,2,1,1,TRUE
"313",2,1,2,1,1,TRUE
"314",1,1,1,1,1,TRUE
"315",2,2,2,1,2,FALSE
"316",1,1,1,1,1,TRUE
"317",1,2,1,1,1,TRUE
"318",1,1,2,1,1,TRUE
