"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1","0300_000607_scrubbed.wav",37.35,37.95,1,2,2,3,1,2,2,2,2,3,2,2,1,1,2,2,2,FALSE
"2","0300_000607_scrubbed.wav",39.25,39.91,1,2,2,3,1,2,2,2,2,3,2,2,1,1,2,2,3,FALSE
"3","0300_000607_scrubbed.wav",77.74,78.34,1,3,4,5,2,2,3,2,3,2,2,2,1,1,2,2,3,FALSE
"4","0300_000607_scrubbed.wav",80.01,80.64,1,2,3,3,2,2,2,2,3,3,2,2,2,1,2,2,3,FALSE
"5","0300_000607_scrubbed.wav",83.77,84.38,1,1,2,3,1,2,2,2,2,2,2,1,1,1,1,1,2,FALSE
"6","0300_000607_scrubbed.wav",87.07,87.98,1,2,1,2,2,2,2,2,2,3,2,1,1,1,2,2,3,FALSE
"7","0300_000607_scrubbed.wav",94.82,96.03,2,2,2,3,2,2,3,2,2,2,2,2,1,1,2,2,3,FALSE
"8","0300_000607_scrubbed.wav",96.83,98.84,2,2,2,2,3,2,2,2,3,3,2,2,1,1,2,2,3,FALSE
"9","0300_000607_scrubbed.wav",99.96,101.02,1,2,3,3,2,2,2,2,3,3,2,2,1,1,2,2,3,FALSE
"10","0300_000607_scrubbed.wav",101.87,104.18,1,2,1,2,1,2,2,2,2,3,2,1,1,1,2,2,3,FALSE
"11","0300_000607_scrubbed.wav",108.17,108.77,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,3,FALSE
"12","0300_000607_scrubbed.wav",109.57,113.07,1,2,1,3,1,2,2,2,1,3,2,1,1,1,2,2,3,FALSE
"13","0300_000607_scrubbed.wav",124.3,125.9,1,2,2,3,1,2,2,2,1,2,2,1,1,1,2,2,3,FALSE
"14","0300_000607_scrubbed.wav",126.89,128.02,1,3,1,3,1,2,3,2,3,3,2,1,1,1,2,2,2,FALSE
"15","0300_000607_scrubbed.wav",129.63,131.2,1,2,2,3,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"16","0300_000607_scrubbed.wav",132.03,132.72,1,2,2,2,1,2,2,2,2,3,2,1,1,1,1,2,3,FALSE
"17","0300_000607_scrubbed.wav",135.95,136.73,1,2,2,2,2,2,2,2,1,3,2,2,1,1,2,2,3,FALSE
"18","0300_000607_scrubbed.wav",137.53,140.88,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,FALSE
"19","0300_000607_scrubbed.wav",142.89,143.49,1,4,3,2,1,2,3,2,1,3,2,1,1,1,2,2,3,FALSE
"20","0300_000607_scrubbed.wav",144.29,144.89,1,2,2,2,2,2,2,2,2,3,2,1,1,1,1,2,3,FALSE
"21","0300_000607_scrubbed.wav",145.69,146.29,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,3,FALSE
"22","0300_000607_scrubbed.wav",167.07,167.67,1,4,3,4,4,2,4,2,1,3,2,1,2,1,1,1,2,FALSE
"23","0300_000607_scrubbed.wav",168.53,169.39,1,3,3,2,2,2,3,2,1,3,2,1,1,1,2,2,3,FALSE
"24","0300_000607_scrubbed.wav",171.19,171.79,1,4,3,2,3,2,3,2,1,2,2,1,2,1,2,2,3,FALSE
"25","0300_000607_scrubbed.wav",172.59,177.58,1,2,3,2,2,2,2,2,2,3,2,1,1,1,2,2,3,FALSE
"26","0300_000607_scrubbed.wav",179.62,180.22,1,2,2,3,2,2,2,2,1,3,2,2,1,1,2,2,3,FALSE
"27","0300_000607_scrubbed.wav",192.3,194.91,1,3,2,3,2,2,2,2,1,3,2,2,2,1,2,2,3,FALSE
"28","0300_000607_scrubbed.wav",251,252,1,4,3,3,3,2,3,2,2,2,2,2,2,1,2,2,3,FALSE
"29","0300_000607_scrubbed.wav",259.87,260.61,1,3,2,3,2,2,2,2,2,3,2,1,1,1,2,2,3,FALSE
"30","0300_000607_scrubbed.wav",262.98,264.26,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,FALSE
"31","0300_000607_scrubbed.wav",268.27,268.87,1,3,1,2,1,2,2,2,2,3,2,1,2,1,2,1,3,FALSE
"32","0300_000607_scrubbed.wav",270.77,271.55,1,2,3,2,2,2,2,2,1,2,2,2,2,1,2,2,3,FALSE
"33","0300_000607_scrubbed.wav",275.59,276.35,1,2,2,2,2,2,2,2,1,3,2,1,2,1,1,2,3,FALSE
"34","0300_000607_scrubbed.wav",277.61,278.21,1,2,2,2,3,2,2,2,1,3,2,2,2,1,2,2,3,FALSE
"35","0300_000607_scrubbed.wav",294.4,295.11,1,2,2,2,2,2,3,2,1,3,2,2,1,1,2,2,3,FALSE
"36","0300_000607_scrubbed.wav",296.22,297.31,1,2,2,3,2,2,2,2,1,3,2,1,1,1,2,2,3,FALSE
"37","0300_000607_scrubbed.wav",308.01,309.53,1,2,2,3,2,2,2,2,1,3,2,2,1,1,2,2,3,FALSE
"38","0300_000607_scrubbed.wav",332.93,333.54,1,2,2,2,1,1,2,2,1,3,2,1,1,1,1,2,2,FALSE
"39","0300_000607_scrubbed.wav",338.52,339.15,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,3,FALSE
"40","0300_000607_scrubbed.wav",345.59,346.19,1,2,2,2,2,2,2,2,1,3,2,1,1,1,2,2,3,FALSE
"41","0300_000607_scrubbed.wav",349.34,351.37,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,3,FALSE
"42","0300_000607_scrubbed.wav",362.16,362.76,1,4,3,2,4,2,2,2,1,2,2,1,1,1,2,2,3,FALSE
"43","0300_000607_scrubbed.wav",366.08,366.71,1,2,2,2,1,1,2,2,1,3,2,1,1,1,1,2,2,FALSE
"44","0300_000607_scrubbed.wav",368.63,371.08,1,2,2,3,2,2,3,2,1,3,2,2,2,1,2,2,3,FALSE
"45","0300_000607_scrubbed.wav",377.49,378.1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,3,FALSE
"46","0300_000607_scrubbed.wav",384.48,385.34,1,1,1,2,1,1,2,2,1,3,2,1,1,1,1,2,2,FALSE
"47","0300_000607_scrubbed.wav",386.14,386.86,1,2,2,2,2,2,2,2,1,3,2,2,1,1,2,2,3,FALSE
"48","0300_000607_scrubbed.wav",386.86,387.86,1,2,2,2,3,2,2,2,1,3,2,2,1,1,2,2,3,FALSE
"49","0300_000607_scrubbed.wav",390.5,391.15,1,2,3,2,2,2,2,2,2,3,2,2,2,1,2,2,3,FALSE
"50","0300_000607_scrubbed.wav",401.84,402.51,1,3,2,2,3,2,2,2,2,3,2,1,1,1,2,2,3,FALSE
"51","0300_000607_scrubbed.wav",409.39,412.86,1,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,3,FALSE
"52","0300_000607_scrubbed.wav",413.66,414.43,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,FALSE
"53","0300_000607_scrubbed.wav",415.27,416.17,1,2,3,2,3,2,2,2,2,2,2,2,2,1,2,2,3,FALSE
"54","0300_000607_scrubbed.wav",421.85,424.54,1,2,3,3,3,2,2,2,2,3,2,2,2,1,2,2,3,FALSE
"55","0300_000607_scrubbed.wav",427.3,428.28,1,3,2,2,3,2,2,2,2,3,2,2,2,1,2,2,3,FALSE
"56","0300_000607_scrubbed.wav",454.77,455.37,1,3,3,3,4,3,3,2,2,3,2,2,2,1,3,2,3,FALSE
"57","0300_000607_scrubbed.wav",457.46,460.05,1,2,3,3,2,2,2,2,1,2,2,2,2,1,2,2,3,FALSE
"58","0300_000607_scrubbed.wav",461.24,461.84,1,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,3,FALSE
"59","0300_000607_scrubbed.wav",462.64,464.37,1,2,3,3,2,2,2,2,2,3,2,2,1,1,2,2,3,FALSE
"60","0300_000607_scrubbed.wav",465.18,466.39,1,3,3,3,2,2,2,2,2,2,2,2,2,1,2,3,3,FALSE
"61","0300_000607_scrubbed.wav",467.71,469.36,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,3,FALSE
"62","0300_000607_scrubbed.wav",476.41,479.18,1,2,2,2,2,2,2,2,2,3,2,1,1,1,2,2,3,FALSE
"63","0300_000607_scrubbed.wav",485.22,485.94,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,FALSE
"64","0300_000607_scrubbed.wav",488.28,489.91,1,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,FALSE
