"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"1",1,2,2,1,1,TRUE,"0274_000221_scrubbed.wav",24.38,25.94
"2",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",29.53,30.13
"3",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",42.74,43.34
"4",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",44.29,44.9
"5",2,2,2,1,2,FALSE,"0274_000221_scrubbed.wav",60.6,61.2
"6",1,1,2,1,1,TRUE,"0274_000221_scrubbed.wav",62,62.77
"7",2,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",66.92,67.52
"8",2,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",69.85,70.45
"9",1,2,2,1,1,TRUE,"0274_000221_scrubbed.wav",92.72,93.48
"10",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",97.25,97.85
"11",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",99.91,101.25
"12",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",107.03,107.83
"13",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",110.01,110.62
"14",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",116.87,117.47
"15",1,1,2,1,1,TRUE,"0274_000221_scrubbed.wav",118.98,119.9
"16",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",125.78,126.4
"17",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",131.84,132.59
"18",1,1,2,1,1,TRUE,"0274_000221_scrubbed.wav",136.9,137.55
"19",1,1,2,1,1,TRUE,"0274_000221_scrubbed.wav",138.35,138.99
"20",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",140.07,140.75
"21",1,2,2,1,1,TRUE,"0274_000221_scrubbed.wav",145.43,146.05
"22",1,2,2,1,1,TRUE,"0274_000221_scrubbed.wav",146.98,147.78
"23",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",151.64,153.54
"24",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",154.78,155.42
"25",2,3,3,2,2,FALSE,"0274_000221_scrubbed.wav",156.29,157.53
"26",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",157.53,159.17
"27",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",161.11,162.2
"28",1,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",163.88,164.58
"29",2,1,1,1,1,TRUE,"0274_000221_scrubbed.wav",166.18,167.01
"30",5,1,5,1,1,TRUE,"0274_000221_scrubbed.wav",168.87,169.67
"31",2,3,3,2,2,FALSE,"0274_000221_scrubbed.wav",174.27,175.75
"32",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",176.75,177.46
"33",2,3,3,2,2,FALSE,"0274_000221_scrubbed.wav",177.46,178.47
"34",2,2,3,2,2,FALSE,"0274_000221_scrubbed.wav",181.95,183.47
"35",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",186.08,186.95
"36",2,3,3,2,2,FALSE,"0274_000221_scrubbed.wav",188.75,189.35
"37",3,3,3,2,3,FALSE,"0274_000221_scrubbed.wav",194.32,194.96
"38",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",195.86,196.66
"39",2,3,3,2,2,FALSE,"0274_000221_scrubbed.wav",197.46,198.27
"40",2,2,3,2,2,FALSE,"0274_000221_scrubbed.wav",200.53,202.6
"41",2,5,5,2,2,FALSE,"0274_000221_scrubbed.wav",204.58,205.18
"42",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",206.18,206.78
"43",2,1,2,1,1,TRUE,"0274_000221_scrubbed.wav",212.53,213.13
"44",2,3,2,2,2,FALSE,"0274_000221_scrubbed.wav",213.93,214.73
"45",3,2,3,2,2,FALSE,"0274_000221_scrubbed.wav",219.76,220.39
"46",3,3,3,2,3,FALSE,"0274_000221_scrubbed.wav",221.59,222.25
"47",5,5,5,3,5,FALSE,"0274_000221_scrubbed.wav",225.55,226.66
"48",1,1,2,1,1,TRUE,"0274_000221_scrubbed.wav",234.4,235.03
"49",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",287.37,287.97
"50",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",292.19,293.21
"51",5,2,5,5,5,FALSE,"0274_000221_scrubbed.wav",297.82,298.42
"52",5,5,2,2,2,FALSE,"0274_000221_scrubbed.wav",405.93,408.14
"53",2,3,3,2,2,FALSE,"0274_000221_scrubbed.wav",408.94,409.54
"54",2,3,3,3,3,FALSE,"0274_000221_scrubbed.wav",410.34,411.52
"55",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",417.6,420.44
"56",2,3,2,2,2,FALSE,"0274_000221_scrubbed.wav",432.49,435.54
"57",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",501.21,502.47
"58",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",503.27,507.06
"59",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",512.52,515.6
"60",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",515.6,516.2
"61",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",516.2,518.94
"62",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",518.94,520.85
"63",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",525.94,526.54
"64",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",526.54,527.66
"65",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",528.29,547.95
"66",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",548.55,556.76
"67",4,4,4,4,4,FALSE,"0274_000221_scrubbed.wav",556.76,557.96
"68",4,4,4,4,4,FALSE,"0274_000221_scrubbed.wav",562.81,563.42
"69",4,4,4,4,4,FALSE,"0274_000221_scrubbed.wav",565.89,566.63
"70",4,3,3,2,3,FALSE,"0274_000221_scrubbed.wav",567.99,568.77
"71",4,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",568.77,571.87
"72",4,3,3,3,3,FALSE,"0274_000221_scrubbed.wav",571.87,572.67
"73",3,3,3,3,3,FALSE,"0274_000221_scrubbed.wav",572.67,573.89
"74",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",573.89,574.51
"75",4,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",574.51,575.73
"76",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",575.73,576.68
"77",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",576.68,578.23
"78",4,4,4,3,4,FALSE,"0274_000221_scrubbed.wav",578.23,578.83
"79",5,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",582.14,582.75
"80",4,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",582.75,583.75
"81",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",583.75,584.37
"82",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",584.37,585.94
"83",3,3,3,3,3,FALSE,"0274_000221_scrubbed.wav",585.94,586.54
"84",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",586.54,587.6
"85",4,4,4,2,4,FALSE,"0274_000221_scrubbed.wav",587.6,588.82
"86",4,4,4,3,4,FALSE,"0274_000221_scrubbed.wav",588.82,591.55
"87",3,3,3,2,3,FALSE,"0274_000221_scrubbed.wav",591.55,593
"88",3,3,3,2,3,FALSE,"0274_000221_scrubbed.wav",593.8,594.47
"89",4,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",594.47,596.06
"90",3,3,3,2,3,FALSE,"0274_000221_scrubbed.wav",596.06,597.44
"91",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",597.44,599.23
"92",3,3,4,3,3,FALSE,"0274_000221_scrubbed.wav",599.23,602.47
"93",3,3,3,2,3,FALSE,"0274_000221_scrubbed.wav",603.27,604.65
"94",2,2,2,1,2,FALSE,"0274_000221_scrubbed.wav",605.45,607.13
"95",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",607.99,609.26
"96",2,2,3,2,2,FALSE,"0274_000221_scrubbed.wav",610.06,611.12
"97",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",612.44,613.25
"98",2,2,2,1,2,FALSE,"0274_000221_scrubbed.wav",614.05,614.65
"99",5,4,5,5,5,FALSE,"0274_000221_scrubbed.wav",615.7,616.71
"100",5,1,5,5,5,FALSE,"0274_000221_scrubbed.wav",727.14,727.75
"101",2,2,2,2,2,FALSE,"0274_000221_scrubbed.wav",773.1,773.71
"102",2,3,3,5,3,FALSE,"0274_000221_scrubbed.wav",931.18,931.78
"103",5,5,5,5,5,FALSE,"0274_000221_scrubbed.wav",1022.71,1023.64
