"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1271","0196_000902_scrubbed.wav",32981.48,32982.08,2,3,2,3,2,3,3,2,4,2,2,2,2,2,2,4,2,FALSE
"1272","0196_000902_scrubbed.wav",33051.4,33052,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"1273","0196_000902_scrubbed.wav",33081.54,33082.14,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"1274","0196_000902_scrubbed.wav",33112.81,33113.79,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"1275","0196_000902_scrubbed.wav",33125.23,33125.83,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"1276","0196_000902_scrubbed.wav",33169.78,33170.64,2,2,2,3,2,3,2,2,2,2,2,2,3,1,2,2,2,FALSE
"1277","0196_000902_scrubbed.wav",33173.99,33174.59,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"1278","0196_000902_scrubbed.wav",33177.94,33178.54,2,3,2,3,2,3,2,2,4,3,2,2,2,1,2,2,2,FALSE
"1279","0196_000902_scrubbed.wav",33239.34,33239.94,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"1280","0196_000902_scrubbed.wav",33248.41,33249.01,2,2,2,2,2,3,2,2,2,3,2,2,2,1,2,2,2,FALSE
"1281","0196_000902_scrubbed.wav",33278.92,33279.54,2,2,4,2,5,3,3,2,5,3,2,2,2,1,5,5,2,FALSE
"1282","0196_000902_scrubbed.wav",33313.74,33314.76,5,2,3,3,5,3,5,2,5,3,5,5,5,1,2,5,4,FALSE
"1283","0196_000902_scrubbed.wav",33368.55,33369.15,5,2,2,4,5,5,5,2,5,3,5,5,5,5,5,5,5,FALSE
"1284","0196_000902_scrubbed.wav",33390.63,33391.41,3,2,3,3,3,3,3,3,4,3,5,3,4,4,5,4,3,FALSE
"1285","0196_000902_scrubbed.wav",33418.43,33419.14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1286","0196_000902_scrubbed.wav",33425.61,33426.22,2,2,2,2,2,5,2,2,5,4,5,5,2,1,5,3,2,FALSE
"1287","0196_000902_scrubbed.wav",33427.6,33428.24,2,2,2,3,2,3,3,2,2,3,5,2,2,2,2,3,2,FALSE
"1288","0196_000902_scrubbed.wav",33430.17,33430.77,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,3,2,FALSE
"1289","0196_000902_scrubbed.wav",33434.36,33434.96,4,3,2,3,5,5,3,4,5,3,2,3,5,1,2,3,3,FALSE
"1290","0196_000902_scrubbed.wav",33436.45,33437.05,2,2,2,2,2,3,2,2,2,3,2,2,2,1,2,3,2,FALSE
"1291","0196_000902_scrubbed.wav",33438.17,33439.27,2,2,2,2,2,3,2,2,2,3,2,2,2,1,2,3,2,FALSE
"1292","0196_000902_scrubbed.wav",33456.83,33457.43,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,3,2,FALSE
