"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_1_targetChildProminence","modal_prominence","clean"
"48","0437_010603_scrubbed.wav",3916.61,3917.4,2,2,2,3,3,2,3,4,5,2,4,3,1,3,2,FALSE
"49","0437_010603_scrubbed.wav",3919.56,3920.21,2,2,5,2,2,5,1,3,5,2,5,1,1,3,2,FALSE
"50","0437_010603_scrubbed.wav",3921.46,3922.37,2,2,2,5,5,2,5,4,5,5,5,5,1,5,5,FALSE
"51","0437_010603_scrubbed.wav",3926.87,3928.22,2,2,2,2,3,2,1,4,2,2,2,2,1,2,2,FALSE
"52","0437_010603_scrubbed.wav",3944.92,3945.63,2,1,2,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
"53","0437_010603_scrubbed.wav",3952.16,3953.16,2,2,2,2,3,2,1,3,2,2,2,2,2,3,2,FALSE
"54","0437_010603_scrubbed.wav",4012.92,4013.57,2,1,2,1,2,2,1,4,2,2,1,2,1,2,2,FALSE
"55","0437_010603_scrubbed.wav",4015.4,4016.17,2,1,2,1,2,2,1,3,2,2,1,1,1,2,2,FALSE
"56","0437_010603_scrubbed.wav",4022.07,4022.68,2,1,2,1,2,2,1,3,2,2,1,1,1,2,2,FALSE
"57","0437_010603_scrubbed.wav",4106.85,4107.98,2,1,2,1,2,2,1,4,2,2,1,1,1,1,1,TRUE
"58","0437_010603_scrubbed.wav",4123.04,4123.85,5,2,5,5,5,2,5,3,5,5,5,5,5,5,5,FALSE
"59","0437_010603_scrubbed.wav",4125.15,4126.09,5,1,1,5,5,2,5,4,2,5,5,5,5,5,5,FALSE
"60","0437_010603_scrubbed.wav",4164.66,4165.66,5,2,5,5,5,2,5,3,2,5,5,5,5,5,5,FALSE
"61","0437_010603_scrubbed.wav",4165.66,4166.28,3,2,5,2,3,2,4,4,3,2,2,2,1,4,2,FALSE
"62","0437_010603_scrubbed.wav",4173.21,4173.81,5,2,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"63","0437_010603_scrubbed.wav",4224.19,4225.53,5,5,5,5,4,4,5,3,5,2,5,1,5,5,5,FALSE
"64","0437_010603_scrubbed.wav",4247.16,4248.43,5,1,4,5,4,5,5,3,5,5,5,5,5,5,5,FALSE
"65","0437_010603_scrubbed.wav",4249.49,4250.78,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"66","0437_010603_scrubbed.wav",4341.06,4341.76,1,1,2,2,2,2,1,3,2,2,1,2,5,2,2,FALSE
"67","0437_010603_scrubbed.wav",4347.94,4348.58,2,1,2,2,2,2,1,4,2,2,2,2,5,2,2,FALSE
"68","0437_010603_scrubbed.wav",4357.98,4358.94,2,1,2,1,2,1,1,4,2,2,1,1,5,1,1,TRUE
"69","0437_010603_scrubbed.wav",4360.47,4361.09,2,1,1,1,2,1,1,4,2,2,1,1,5,1,1,TRUE
"70","0437_010603_scrubbed.wav",4452.94,4453.97,2,1,2,1,2,1,1,3,2,2,1,1,1,1,1,TRUE
"71","0437_010603_scrubbed.wav",4460.88,4461.86,2,1,2,2,2,2,1,3,2,2,1,2,1,1,2,FALSE
"72","0437_010603_scrubbed.wav",4477.29,4478.03,2,2,5,5,4,5,1,2,5,2,5,2,1,3,2,FALSE
"73","0437_010603_scrubbed.wav",4479.69,4480.58,2,1,2,1,2,2,1,3,2,2,1,2,1,2,2,FALSE
"74","0437_010603_scrubbed.wav",4563.31,4563.97,2,1,2,5,2,2,1,3,2,2,1,1,1,2,2,FALSE
"75","0437_010603_scrubbed.wav",4570.49,4571.09,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,FALSE
"76","0437_010603_scrubbed.wav",4572.32,4573.58,2,2,5,2,3,2,3,2,2,2,2,3,1,3,2,FALSE
"77","0437_010603_scrubbed.wav",4576.28,4577.29,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"78","0437_010603_scrubbed.wav",4581.53,4582.13,2,2,2,2,3,2,2,2,2,2,2,2,1,3,2,FALSE
"79","0437_010603_scrubbed.wav",4589.63,4590.75,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"80","0437_010603_scrubbed.wav",4624.93,4625.89,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,FALSE
"81","0437_010603_scrubbed.wav",4626.7,4627.98,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"82","0437_010603_scrubbed.wav",4656.76,4657.4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"83","0437_010603_scrubbed.wav",4659.04,4659.66,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,FALSE
"84","0437_010603_scrubbed.wav",4668.95,4670.17,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,FALSE
"85","0437_010603_scrubbed.wav",4670.17,4670.97,2,2,3,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
"86","0437_010603_scrubbed.wav",4672.97,4673.97,2,1,3,1,1,2,1,2,2,2,1,2,1,2,2,FALSE
"87","0437_010603_scrubbed.wav",4678.74,4679.56,2,1,1,1,1,2,1,3,2,2,1,2,1,1,1,TRUE
"88","0437_010603_scrubbed.wav",4680.57,4681.31,2,1,1,1,1,1,1,3,2,2,1,1,1,1,1,TRUE
"89","0437_010603_scrubbed.wav",4685.28,4687.15,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,FALSE
"90","0437_010603_scrubbed.wav",4731.33,4731.93,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"91","0437_010603_scrubbed.wav",4747.51,4748.11,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,FALSE
"92","0437_010603_scrubbed.wav",4801.81,4804.35,2,1,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"93","0437_010603_scrubbed.wav",4810.81,4811.41,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"94","0437_010603_scrubbed.wav",4813.72,4815.34,2,1,1,2,2,2,1,3,2,2,2,1,1,2,2,FALSE
"95","0437_010603_scrubbed.wav",4816.33,4817.11,2,1,1,1,2,2,1,2,3,2,1,1,1,1,1,TRUE
"96","0437_010603_scrubbed.wav",4817.99,4818.7,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,TRUE
"97","0437_010603_scrubbed.wav",4820.58,4821.35,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,TRUE
"98","0437_010603_scrubbed.wav",4822.8,4823.61,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,FALSE
"99","0437_010603_scrubbed.wav",4829.95,4830.78,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"100","0437_010603_scrubbed.wav",4851.96,4852.88,2,1,1,1,1,1,1,2,2,2,1,1,1,3,1,TRUE
"101","0437_010603_scrubbed.wav",4853.99,4854.63,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,TRUE
"102","0437_010603_scrubbed.wav",4857.49,4858.35,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,FALSE
"103","0437_010603_scrubbed.wav",4859.15,4860.34,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"104","0437_010603_scrubbed.wav",4866.31,4866.94,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,FALSE
"105","0437_010603_scrubbed.wav",4868.54,4869.14,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"106","0437_010603_scrubbed.wav",4873.63,4874.23,2,1,2,2,2,2,2,3,2,2,1,1,1,2,2,FALSE
"107","0437_010603_scrubbed.wav",4877.64,4878.24,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"108","0437_010603_scrubbed.wav",4891.25,4892.03,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
"109","0437_010603_scrubbed.wav",4896.4,4897.48,2,1,2,2,3,2,2,3,2,2,2,2,1,2,2,FALSE
"110","0437_010603_scrubbed.wav",4900.18,4900.78,2,1,2,1,2,2,1,3,2,2,1,2,1,2,2,FALSE
"111","0437_010603_scrubbed.wav",4901.78,4903.09,2,1,2,2,3,2,2,2,2,2,2,2,1,2,2,FALSE
"112","0437_010603_scrubbed.wav",4904.74,4906,2,2,3,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
"113","0437_010603_scrubbed.wav",4917.16,4918.19,2,1,2,1,1,1,1,2,1,2,1,1,1,2,1,TRUE
"114","0437_010603_scrubbed.wav",4954.78,4955.91,2,1,2,2,2,2,1,3,1,2,2,2,1,2,2,FALSE
"115","0437_010603_scrubbed.wav",4963.37,4963.97,2,1,2,2,3,2,1,3,2,2,1,2,1,2,2,FALSE
"116","0437_010603_scrubbed.wav",4965.29,4965.9,2,2,2,3,3,2,1,2,3,2,1,2,1,2,2,FALSE
"117","0437_010603_scrubbed.wav",4978.84,4979.44,2,1,2,1,1,1,1,3,2,2,1,2,1,2,1,TRUE
"118","0437_010603_scrubbed.wav",4980.36,4981.15,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"119","0437_010603_scrubbed.wav",4987.73,4988.35,2,1,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"120","0437_010603_scrubbed.wav",4990.45,4991.59,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"121","0437_010603_scrubbed.wav",4993.9,4994.7,2,1,2,1,2,2,1,3,2,2,1,2,1,3,2,FALSE
"122","0437_010603_scrubbed.wav",4998.42,5000.31,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"123","0437_010603_scrubbed.wav",5003.73,5004.44,2,1,2,1,2,2,1,3,2,2,1,2,1,1,2,FALSE
"124","0437_010603_scrubbed.wav",5005.25,5006.26,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,FALSE
"125","0437_010603_scrubbed.wav",5027.44,5028.08,2,1,1,1,2,1,1,3,2,2,1,1,1,1,1,TRUE
"126","0437_010603_scrubbed.wav",5032.22,5032.85,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"127","0437_010603_scrubbed.wav",5039.57,5041.29,2,1,2,1,2,2,1,3,1,2,1,1,1,1,1,TRUE
"128","0437_010603_scrubbed.wav",5044.59,5045.48,2,1,2,1,2,2,1,3,2,2,1,1,1,1,1,TRUE
"129","0437_010603_scrubbed.wav",5046.59,5047.66,2,1,2,1,2,2,1,3,1,2,2,1,1,1,1,TRUE
"130","0437_010603_scrubbed.wav",5048.66,5051.25,2,1,3,1,2,2,1,3,2,2,1,1,1,2,2,FALSE
"131","0437_010603_scrubbed.wav",5053.06,5054.03,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,FALSE
"132","0437_010603_scrubbed.wav",5064.97,5066.1,2,2,2,2,3,2,1,2,3,2,2,2,2,2,2,FALSE
"133","0437_010603_scrubbed.wav",5068.65,5071.06,2,1,1,1,2,2,1,3,2,2,1,1,1,1,1,TRUE
"134","0437_010603_scrubbed.wav",5072.11,5073.3,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,FALSE
"135","0437_010603_scrubbed.wav",5076.69,5077.51,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,FALSE
"136","0437_010603_scrubbed.wav",5091.47,5092.08,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,FALSE
"137","0437_010603_scrubbed.wav",5094.61,5095.21,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,FALSE
