"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"50","0833_010606.wav",994.94,996.23,1,2,2,2,2,2,2,2,1,2,2,3,2,2,1,2,2,FALSE
"51","0833_010606.wav",997.23,997.83,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,TRUE
"52","0833_010606.wav",998.89,999.55,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,TRUE
"53","0833_010606.wav",1007.82,1008.42,1,2,1,2,2,3,2,2,2,2,2,2,1,2,1,2,2,FALSE
"54","0833_010606.wav",1019.46,1020.21,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"55","0833_010606.wav",1061.64,1062.24,1,2,2,2,4,3,3,2,3,2,2,2,2,2,1,2,2,FALSE
"56","0833_010606.wav",1063.04,1063.64,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"57","0833_010606.wav",1075.74,1077.52,2,3,2,3,3,3,3,2,3,2,2,2,2,3,1,2,2,FALSE
"58","0833_010606.wav",1079.45,1080.25,2,2,1,2,1,2,2,2,1,2,3,2,1,2,1,1,2,FALSE
"59","0833_010606.wav",1093,1093.6,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"60","0833_010606.wav",1094.6,1095.54,1,2,2,3,2,3,3,2,1,2,2,2,2,2,1,2,2,FALSE
"61","0833_010606.wav",1138.54,1139.42,1,2,2,3,3,2,3,2,2,2,2,2,2,2,1,2,2,FALSE
"62","0833_010606.wav",1146.14,1146.74,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"63","0833_010606.wav",1150.49,1151.09,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"64","0833_010606.wav",1163.14,1163.78,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"65","0833_010606.wav",1164.96,1166.34,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"66","0833_010606.wav",1167.16,1169.19,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"67","0833_010606.wav",1177.95,1178.72,1,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,FALSE
"68","0833_010606.wav",1180.79,1181.39,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"69","0833_010606.wav",1191.14,1191.8,1,2,3,4,3,2,2,2,2,2,2,2,1,2,1,2,2,FALSE
"70","0833_010606.wav",1199.49,1200.09,2,3,3,3,3,3,3,2,3,2,2,2,2,2,1,2,2,FALSE
